
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_3	MODULE_52	MODULE_327	MODULE_1	MODULE_2	MODULE_6	MODULE_5	MODULE_105	MODULE_72	MODULE_235	MODULE_40	MODULE_15	MODULE_12	MODULE_17	MODULE_43	MODULE_118	MODULE_23	MODULE_93	MODULE_47	MODULE_83	MODULE_212	MODULE_220	MODULE_8	MODULE_18	MODULE_24	MODULE_38	MODULE_16	MODULE_84	MODULE_45
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	MODULE_3	MODULE_52		MODULE_1	MODULE_2	MODULE_6	MODULE_5	MODULE_105		MODULE_235		MODULE_15	MODULE_12	MODULE_17		MODULE_118								MODULE_18		MODULE_38	MODULE_16	MODULE_84	MODULE_45
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	MODULE_3	MODULE_52		MODULE_1	MODULE_2	MODULE_6	MODULE_5						MODULE_12			MODULE_118			MODULE_47		MODULE_212	MODULE_220							
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]	MODULE_3	MODULE_52					MODULE_5	MODULE_105	MODULE_72																				
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	MODULE_3													MODULE_17						MODULE_83			MODULE_8						
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	MODULE_3																												
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]		MODULE_52	MODULE_327	MODULE_1	MODULE_2	MODULE_6				MODULE_235	MODULE_40				MODULE_43	MODULE_118	MODULE_23	MODULE_93			MODULE_212		MODULE_8		MODULE_24				
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]		MODULE_52		MODULE_1	MODULE_2	MODULE_6	MODULE_5		MODULE_72			MODULE_15	MODULE_12				MODULE_23		MODULE_47					MODULE_18	MODULE_24	MODULE_38		MODULE_84	MODULE_45
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]			MODULE_327								MODULE_40				MODULE_43		MODULE_23	MODULE_93											
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]								MODULE_105																					
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]									MODULE_72																				
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]												MODULE_15		MODULE_17													MODULE_16		
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]																				MODULE_83									
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]																						MODULE_220							
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]																													
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]																													
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]																													
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]																													
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]																													
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]																													
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]																													
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]																													
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]																													
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]																													
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]																													
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]																													
8479	HIRIP3	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]																													
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]																													
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]																													
