
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_TRANSCRIPTION_COREGULATOR_ACTIVITY	GO_SIGNALING_RECEPTOR_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	GO_RNA_BINDING	GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY						
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	GO_RNA_BINDING	GO_ENZYME_REGULATOR_ACTIVITY					GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING		GO_SIGNALING_RECEPTOR_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	GO_RNA_BINDING				GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING				GO_SIGNALING_RECEPTOR_BINDING	
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	GO_RNA_BINDING						GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING			GO_CELL_ADHESION_MOLECULE_BINDING
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]	GO_RNA_BINDING								GO_TRANSCRIPTION_COREGULATOR_ACTIVITY		
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]	GO_RNA_BINDING									GO_SIGNALING_RECEPTOR_BINDING	
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	GO_RNA_BINDING										
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	GO_RNA_BINDING										
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]	GO_RNA_BINDING										
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]		GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY						
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]		GO_ENZYME_REGULATOR_ACTIVITY		GO_ENZYME_ACTIVATOR_ACTIVITY							
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]		GO_ENZYME_REGULATOR_ACTIVITY		GO_ENZYME_ACTIVATOR_ACTIVITY							
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]		GO_ENZYME_REGULATOR_ACTIVITY									
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]					GO_STRUCTURAL_MOLECULE_ACTIVITY			GO_IDENTICAL_PROTEIN_BINDING			
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]						GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_CADHERIN_BINDING				GO_CELL_ADHESION_MOLECULE_BINDING
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]						GO_PROTEIN_DOMAIN_SPECIFIC_BINDING		GO_IDENTICAL_PROTEIN_BINDING			
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]						GO_PROTEIN_DOMAIN_SPECIFIC_BINDING					
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]								GO_IDENTICAL_PROTEIN_BINDING			
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]								GO_IDENTICAL_PROTEIN_BINDING			
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]									GO_TRANSCRIPTION_COREGULATOR_ACTIVITY	GO_SIGNALING_RECEPTOR_BINDING	
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]									GO_TRANSCRIPTION_COREGULATOR_ACTIVITY		
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]										GO_SIGNALING_RECEPTOR_BINDING	
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]											
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]											
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]											
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]											
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]											
8479	HIRIP3	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]											
