
Entrez Gene Id	Gene Symbol	Gene Description	E2F1_UP.V1_DN	RB_P107_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN	SNF5_DN.V1_UP	ESC_V6.5_UP_LATE.V1_DN	RPS14_DN.V1_DN	E2F1_UP.V1_UP	CAMP_UP.V1_DN
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	E2F1_UP.V1_DN		ESC_V6.5_UP_EARLY.V1_DN			ESC_V6.5_UP_LATE.V1_DN			CAMP_UP.V1_DN
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	E2F1_UP.V1_DN								
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]	E2F1_UP.V1_DN								
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]		RB_P107_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN		ESC_V6.5_UP_LATE.V1_DN	RPS14_DN.V1_DN		
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]		RB_P107_DN.V1_UP					RPS14_DN.V1_DN	E2F1_UP.V1_UP	
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]				ESC_J1_UP_LATE.V1_DN					
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]					SNF5_DN.V1_UP				
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]					SNF5_DN.V1_UP				
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]								E2F1_UP.V1_UP	
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]									CAMP_UP.V1_DN
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]									
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]									
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]									
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]									
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]									
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]									
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]									
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]									
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]									
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]									
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]									
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]									
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]									
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]									
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]									
8479	HIRIP3	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]									
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]									
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]									
