
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_INFECTIOUS_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_HIV_LIFE_CYCLE	REACTOME_INFLUENZA_INFECTION	REACTOME_HIV_INFECTION	REACTOME_DISEASE	REACTOME_AMINO_ACIDS_REGULATE_MTORC1	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INTERFERON_SIGNALING	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_RRNA_PROCESSING	REACTOME_MEMBRANE_TRAFFICKING
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	REACTOME_INFECTIOUS_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_HIV_LIFE_CYCLE	REACTOME_INFLUENZA_INFECTION	REACTOME_HIV_INFECTION	REACTOME_DISEASE	REACTOME_AMINO_ACIDS_REGULATE_MTORC1			REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES			REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION		REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INTERFERON_SIGNALING	REACTOME_MITOTIC_PROMETAPHASE		REACTOME_MEMBRANE_TRAFFICKING
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	REACTOME_INFECTIOUS_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_HIV_LIFE_CYCLE		REACTOME_HIV_INFECTION	REACTOME_DISEASE		REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES		REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53									
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	REACTOME_INFECTIOUS_DISEASE	REACTOME_METABOLISM_OF_RNA		REACTOME_INFLUENZA_INFECTION		REACTOME_DISEASE						REACTOME_SELENOAMINO_ACID_METABOLISM			REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI			REACTOME_RRNA_PROCESSING	
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]	REACTOME_INFECTIOUS_DISEASE		REACTOME_HIV_LIFE_CYCLE		REACTOME_HIV_INFECTION	REACTOME_DISEASE		REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES		REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53									
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	REACTOME_INFECTIOUS_DISEASE			REACTOME_INFLUENZA_INFECTION		REACTOME_DISEASE								REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT					REACTOME_MEMBRANE_TRAFFICKING
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]	REACTOME_INFECTIOUS_DISEASE					REACTOME_DISEASE														
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]		REACTOME_METABOLISM_OF_RNA									REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53									
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]		REACTOME_METABOLISM_OF_RNA																	REACTOME_RRNA_PROCESSING	
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]							REACTOME_AMINO_ACIDS_REGULATE_MTORC1									REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI				
