
Entrez Gene Id	Gene Symbol	Gene Description	GO_IDENTICAL_PROTEIN_BINDING	GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_RNA_BINDING	GO_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	GO_IDENTICAL_PROTEIN_BINDING		GO_RNA_BINDING	
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	GO_IDENTICAL_PROTEIN_BINDING			GO_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	GO_IDENTICAL_PROTEIN_BINDING			GO_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	GO_IDENTICAL_PROTEIN_BINDING			
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]		GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_RNA_BINDING	
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]		GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_RNA_BINDING	
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]			GO_RNA_BINDING	
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]				
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]				
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]				
