
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_RIBOSOME	KEGG_OOCYTE_MEIOSIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_CELL_CYCLE	KEGG_PYRUVATE_METABOLISM	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_TIGHT_JUNCTION	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PROPANOATE_METABOLISM	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	KEGG_FOCAL_ADHESION	KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_SPLICEOSOME	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_VIRAL_MYOCARDITIS	KEGG_PEROXISOME	KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_HUNTINGTONS_DISEASE	KEGG_THYROID_CANCER	KEGG_BUTANOATE_METABOLISM	KEGG_DNA_REPLICATION	KEGG_TRYPTOPHAN_METABOLISM	KEGG_FATTY_ACID_METABOLISM	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_PARKINSONS_DISEASE	KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_GLUTATHIONE_METABOLISM	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_RENAL_CELL_CARCINOMA	KEGG_ENDOCYTOSIS	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_PATHWAYS_IN_CANCER	KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_DILATED_CARDIOMYOPATHY	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_WNT_SIGNALING_PATHWAY	KEGG_ALZHEIMERS_DISEASE
25873	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	KEGG_RIBOSOME																																											
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	KEGG_RIBOSOME																																											
6156	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	KEGG_RIBOSOME																																											
6202	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	KEGG_RIBOSOME																																											
6224	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	KEGG_RIBOSOME																																											
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	KEGG_RIBOSOME																																											
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	KEGG_RIBOSOME																																											
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]		KEGG_OOCYTE_MEIOSIS		KEGG_CELL_CYCLE			KEGG_NEUROTROPHIN_SIGNALING_PATHWAY								KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION																													
7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]		KEGG_OOCYTE_MEIOSIS		KEGG_CELL_CYCLE			KEGG_NEUROTROPHIN_SIGNALING_PATHWAY																																					
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]		KEGG_OOCYTE_MEIOSIS		KEGG_CELL_CYCLE			KEGG_NEUROTROPHIN_SIGNALING_PATHWAY																																					
6500	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]		KEGG_OOCYTE_MEIOSIS		KEGG_CELL_CYCLE													KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS			KEGG_TGF_BETA_SIGNALING_PATHWAY																							KEGG_WNT_SIGNALING_PATHWAY	
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]		KEGG_OOCYTE_MEIOSIS		KEGG_CELL_CYCLE																																KEGG_PATHWAYS_IN_CANCER								
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]		KEGG_OOCYTE_MEIOSIS						KEGG_TIGHT_JUNCTION												KEGG_TGF_BETA_SIGNALING_PATHWAY																							KEGG_WNT_SIGNALING_PATHWAY	
9748	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]		KEGG_OOCYTE_MEIOSIS																																										
