
Entrez Gene Id	Gene Symbol	Gene Description	GCNP_SHH_UP_LATE.V1_UP	TBK1.DF_DN	PDGF_ERK_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	E2F1_UP.V1_UP	PIGF_UP.V1_UP	VEGF_A_UP.V1_DN	CAMP_UP.V1_DN	EIF4E_DN	CRX_NRL_DN.V1_DN	RB_P130_DN.V1_UP	RB_P107_DN.V1_UP	CRX_DN.V1_DN	NRL_DN.V1_DN	ALK_DN.V1_DN	PKCA_DN.V1_DN	MTOR_UP.V1_UP	SRC_UP.V1_DN	ESC_J1_UP_EARLY.V1_DN	SNF5_DN.V1_UP	E2F1_UP.V1_DN	ESC_J1_UP_LATE.V1_UP	RPS14_DN.V1_DN	IL15_UP.V1_UP	ATF2_UP.V1_UP	CYCLIN_D1_UP.V1_DN	ERBB2_UP.V1_DN	STK33_SKM_UP
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]	GCNP_SHH_UP_LATE.V1_UP	TBK1.DF_DN																									ERBB2_UP.V1_DN	
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	GCNP_SHH_UP_LATE.V1_UP			ESC_V6.5_UP_EARLY.V1_DN															ESC_J1_UP_EARLY.V1_DN		E2F1_UP.V1_DN							STK33_SKM_UP
10528	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	GCNP_SHH_UP_LATE.V1_UP				E2F1_UP.V1_UP																							
25932	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	GCNP_SHH_UP_LATE.V1_UP									CRX_NRL_DN.V1_DN				NRL_DN.V1_DN														
3978	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	GCNP_SHH_UP_LATE.V1_UP											RB_P107_DN.V1_UP						SRC_UP.V1_DN							ATF2_UP.V1_UP			
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]	GCNP_SHH_UP_LATE.V1_UP															PKCA_DN.V1_DN												
57187	THOC2	THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]		TBK1.DF_DN	PDGF_ERK_DN.V1_UP			PIGF_UP.V1_UP	VEGF_A_UP.V1_DN																					
9360	PPIG	peptidylprolyl isomerase G [Source:HGNC Symbol;Acc:HGNC:14650]		TBK1.DF_DN				PIGF_UP.V1_UP	VEGF_A_UP.V1_DN																			CYCLIN_D1_UP.V1_DN		
4646	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]		TBK1.DF_DN																				ESC_J1_UP_LATE.V1_UP						
9748	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]		TBK1.DF_DN																										
4643	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]			PDGF_ERK_DN.V1_UP																									
6238	RRBP1	ribosome binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10448]			PDGF_ERK_DN.V1_UP																									
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]				ESC_V6.5_UP_EARLY.V1_DN				CAMP_UP.V1_DN											ESC_J1_UP_EARLY.V1_DN		E2F1_UP.V1_DN							STK33_SKM_UP
