
Entrez Gene Id	Gene Symbol	Gene Description	RB_P107_DN.V1_DN	SNF5_DN.V1_UP	EIF4E_DN	RB_P130_DN.V1_DN	GCNP_SHH_UP_EARLY.V1_UP	GCNP_SHH_UP_LATE.V1_UP	PRC2_EED_UP.V1_DN	SIRNA_EIF4GI_UP	EIF4E_UP	CSR_EARLY_UP.V1_DN	CSR_EARLY_UP.V1_UP	MTOR_UP.V1_UP	ATF2_UP.V1_DN	E2F1_UP.V1_DN	RPS14_DN.V1_DN	CYCLIN_D1_UP.V1_DN	KRAS.DF.V1_DN	VEGF_A_UP.V1_DN	P53_DN.V1_UP	MTOR_UP.N4.V1_UP	ERBB2_UP.V1_DN
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	RB_P107_DN.V1_DN													E2F1_UP.V1_DN							
10808	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	RB_P107_DN.V1_DN																				
5917	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	RB_P107_DN.V1_DN																				
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	RB_P107_DN.V1_DN																				
4174	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]		SNF5_DN.V1_UP			GCNP_SHH_UP_EARLY.V1_UP	GCNP_SHH_UP_LATE.V1_UP	PRC2_EED_UP.V1_DN					MTOR_UP.V1_UP			RPS14_DN.V1_DN						
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]		SNF5_DN.V1_UP			GCNP_SHH_UP_EARLY.V1_UP																
23760	PITPNB	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]		SNF5_DN.V1_UP																			
6892	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]		SNF5_DN.V1_UP																			
55023	PHIP	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]			EIF4E_DN							CSR_EARLY_UP.V1_DN											
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]			EIF4E_DN																		
23215	PRRC2C	proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]			EIF4E_DN																		
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]				RB_P130_DN.V1_DN					EIF4E_UP					E2F1_UP.V1_DN						MTOR_UP.N4.V1_UP	
1653	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]				RB_P130_DN.V1_DN																	
8669	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]				RB_P130_DN.V1_DN																	
4931	NVL	nuclear VCP like [Source:HGNC Symbol;Acc:HGNC:8070]					GCNP_SHH_UP_EARLY.V1_UP																
10528	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]						GCNP_SHH_UP_LATE.V1_UP															
23435	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]						GCNP_SHH_UP_LATE.V1_UP															
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]							PRC2_EED_UP.V1_DN						ATF2_UP.V1_DN				KRAS.DF.V1_DN				
9493	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]							PRC2_EED_UP.V1_DN								RPS14_DN.V1_DN			VEGF_A_UP.V1_DN			
51056	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]								SIRNA_EIF4GI_UP													
4733	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]								SIRNA_EIF4GI_UP													
7284	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]									EIF4E_UP												
160428	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]										CSR_EARLY_UP.V1_DN											
7150	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]											CSR_EARLY_UP.V1_UP										
7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]											CSR_EARLY_UP.V1_UP										
10801	SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]												MTOR_UP.V1_UP									
31	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]													ATF2_UP.V1_DN							MTOR_UP.N4.V1_UP	
30	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]																CYCLIN_D1_UP.V1_DN					
1981	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]																CYCLIN_D1_UP.V1_DN					
55738	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]																	KRAS.DF.V1_DN				
10963	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]																		VEGF_A_UP.V1_DN			
847	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]																			P53_DN.V1_UP		
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]																			P53_DN.V1_UP		
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]																					ERBB2_UP.V1_DN
55236	UBA6	ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]																					ERBB2_UP.V1_DN
10128	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]																					
1431	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]																					
8805	TRIM24	tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]																					
