
Entrez Gene Id	Gene Symbol	Gene Description	GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_DN	GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_DN	GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP	GSE37532_WT_VS_PPARG_KO_LN_TREG_UP	GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE13547_WT_VS_ZFX_KO_BCELL_DN	GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_DN	GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	GSE360_CTRL_VS_L_MAJOR_MAC_DN	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN	GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP	GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN	GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_DN	GSE17721_0.5H_VS_24H_LPS_BMDC_UP	GSE17721_CTRL_VS_LPS_24H_BMDC_UP	GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP	GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_DN	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_AND_IL4_STIM_UP	GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN	GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP	GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	GSE14308_TH2_VS_TH17_UP	GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_DN	GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN	GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP	GSE17721_0.5H_VS_12H_POLYIC_BMDC_DN	GSE17721_0.5H_VS_4H_POLYIC_BMDC_UP	GSE17721_CTRL_VS_CPG_6H_BMDC_DN	GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP	GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	GSE27786_CD4_TCELL_VS_NEUTROPHIL_DN	GSE27786_ERYTHROBLAST_VS_MONO_MAC_DN	GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP	GSE36078_WT_VS_IL1R_KO_LUNG_DC_DN	GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP	GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN	GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP	GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN	KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP	KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_DN	GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_DN		GSE37532_WT_VS_PPARG_KO_LN_TREG_UP	GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE13547_WT_VS_ZFX_KO_BCELL_DN		GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_DN	GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN			GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN			GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_DN	GSE17721_0.5H_VS_24H_LPS_BMDC_UP	GSE17721_CTRL_VS_LPS_24H_BMDC_UP			GSE25088_WT_VS_STAT6_KO_MACROPHAGE_DN		GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN	GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP	GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN									GSE17721_0.5H_VS_12H_POLYIC_BMDC_DN		GSE17721_CTRL_VS_CPG_6H_BMDC_DN	GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP	GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN			GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP	GSE36078_WT_VS_IL1R_KO_LUNG_DC_DN	GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP						GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP		KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP	KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_DN				GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE13547_WT_VS_ZFX_KO_BCELL_DN		GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_DN		GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN		GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN						GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP	GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_DN					GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN			GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN			GSE17721_0.5H_VS_4H_POLYIC_BMDC_UP									GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP			GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP	GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN	KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP	KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	GSE23568_CTRL_VS_ID3_TRANSDUCED_CD8_TCELL_DN													GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP	GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN				GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP	GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP													GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN			GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP	GSE17721_0.5H_VS_12H_POLYIC_BMDC_DN		GSE17721_CTRL_VS_CPG_6H_BMDC_DN										GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP						
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]		GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_DN	GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP	GSE37532_WT_VS_PPARG_KO_LN_TREG_UP			GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP							GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP																								GSE17721_0.5H_VS_4H_POLYIC_BMDC_UP										GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP							
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]			GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP								GSE360_CTRL_VS_L_MAJOR_MAC_DN					GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_DN						GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_AND_IL4_STIM_UP	GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN	GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN						GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_DN				GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN	GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP						GSE27786_CD4_TCELL_VS_NEUTROPHIL_DN		GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP						GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN					
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]							GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP																																				GSE27786_ERYTHROBLAST_VS_MONO_MAC_DN										GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN		
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]									GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN			GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_UP			GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN							GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_AND_IL4_STIM_UP							GSE14308_TH2_VS_TH17_UP		GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP									GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN				GSE36078_WT_VS_IL1R_KO_LUNG_DC_DN		GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP		GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP				
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]											GSE360_CTRL_VS_L_MAJOR_MAC_DN																		GSE14308_TH2_VS_TH17_UP	GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_DN												GSE27786_CD4_TCELL_VS_NEUTROPHIL_DN	GSE27786_ERYTHROBLAST_VS_MONO_MAC_DN							GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN					
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]																	GSE17721_0.5H_VS_24H_LPS_BMDC_UP	GSE17721_CTRL_VS_LPS_24H_BMDC_UP							GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP															GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP						GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP									
