
Entrez Gene Id	Gene Symbol	Gene Description	RB_P107_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN	ESC_V6.5_UP_LATE.V1_DN	RPS14_DN.V1_DN	E2F1_UP.V1_UP
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	RB_P107_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN	ESC_V6.5_UP_LATE.V1_DN	RPS14_DN.V1_DN	
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	RB_P107_DN.V1_UP				RPS14_DN.V1_DN	E2F1_UP.V1_UP
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]		ESC_V6.5_UP_EARLY.V1_DN		ESC_V6.5_UP_LATE.V1_DN		
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]			ESC_J1_UP_LATE.V1_DN			
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]						E2F1_UP.V1_UP
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]						
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]						
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]						
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]						
