
Entrez Gene Id	Gene Symbol	Gene Description	HP_HYPODONTIA	HP_ABNORMAL_NUMBER_OF_TEETH
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	HP_HYPODONTIA	HP_ABNORMAL_NUMBER_OF_TEETH
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	HP_HYPODONTIA	HP_ABNORMAL_NUMBER_OF_TEETH
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	HP_HYPODONTIA	HP_ABNORMAL_NUMBER_OF_TEETH
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]		
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]		
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]		
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]		
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]		
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]		
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]		
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]		
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]		
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]		
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]		
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]		
8479	HIRIP3	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]		
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]		
85456	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]		
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]		
