
Entrez Gene Id	Gene Symbol	Gene Description	GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN	GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP	GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP	GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_DN	GSE13411_NAIVE_VS_MEMORY_BCELL_DN	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_UP	GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP	GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_DN	GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_DN	GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP	GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP	GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_DN	GSE7852_LN_VS_FAT_TCONV_DN	GSE7852_LN_VS_FAT_TREG_DN	GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN	GSE9946_LISTERIA_INF_MATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_UP	GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_UP	GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_DN	GSE6674_UNSTIM_VS_CPG_STIM_BCELL_DN	GSE37534_GW1929_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP	GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN	GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP	GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP	GSE40493_BCL6_KO_VS_WT_TREG_UP	GSE25677_MPL_VS_R848_STIM_BCELL_DN	GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP	GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_UP	GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_DN	GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP	GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_DN	GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_UP	GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN	GSE3400_UNTREATED_VS_IFNB_TREATED_MEF_UP	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	GSE22886_IL2_VS_IL15_STIM_NKCELL_DN	GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP	GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN	GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_DN	GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_DN	GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP	GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN	GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN	GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN	GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP	GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP	GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_UP	GSE360_CTRL_VS_T_GONDII_MAC_DN	GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP	GSE3982_BASOPHIL_VS_NKCELL_UP	GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	GSE14308_TH2_VS_NATURAL_TREG_UP	GSE15330_WT_VS_IKAROS_KO_HSC_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP	GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN	GSE17721_CTRL_VS_LPS_12H_BMDC_UP	GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_DN	GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN	GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP	GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP	GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE26669_CD4_VS_CD8_TCELL_IN_MLR_DN	GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_DN	GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP	GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_DN	GSE36392_EOSINOPHIL_VS_NEUTROPHIL_IL25_TREATED_LUNG_DN	GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	GSE39022_LN_VS_SPLEEN_DC_UP	GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_UP	GSE3982_MAC_VS_TH1_DN	GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN	GSE45365_NK_CELL_VS_CD11B_DC_DN	GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP	GSE7852_THYMUS_VS_FAT_TREG_DN	GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP	GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_DN	GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP	GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_DN	GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP	GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]	GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN	GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP		GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP			GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_UP	GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP		GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_DN	GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP			GSE7852_LN_VS_FAT_TCONV_DN																								GSE3400_UNTREATED_VS_IFNB_TREATED_MEF_UP								GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP			GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN									GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP										GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP			GSE26669_CD4_VS_CD8_TCELL_IN_MLR_DN		GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN			GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_DN			GSE39022_LN_VS_SPLEEN_DC_UP									GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP								GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_DN		
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]	GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN			GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP																																																													GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP							GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP																	GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP									GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_DN	GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP	
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN				GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_DN		GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_UP			GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP														GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP					GSE40493_BCL6_KO_VS_WT_TREG_UP								GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_UP	GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN			GSE22886_IL2_VS_IL15_STIM_NKCELL_DN				GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_DN									GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP		GSE360_CTRL_VS_T_GONDII_MAC_DN									GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN			GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN										GSE36392_EOSINOPHIL_VS_NEUTROPHIL_IL25_TREATED_LUNG_DN																					
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]	GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN																																												GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN				GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN																			GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_DN			GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP						GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP																							
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]		GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP		GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP									GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP		GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_DN							GSE6674_UNSTIM_VS_CPG_STIM_BCELL_DN			GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP					GSE25677_MPL_VS_R848_STIM_BCELL_DN			GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_DN																			GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP		GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP																		GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP								GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP			GSE3982_MAC_VS_TH1_DN		GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN	GSE45365_NK_CELL_VS_CD11B_DC_DN			GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP			GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP							GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP	
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]		GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP												GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP		GSE7852_LN_VS_FAT_TCONV_DN	GSE7852_LN_VS_FAT_TREG_DN																										GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP						GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN																																GSE39022_LN_VS_SPLEEN_DC_UP	GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_UP		GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN			GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN		GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP										GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]			GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP					GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP							GSE7852_LN_VS_FAT_TCONV_DN	GSE7852_LN_VS_FAT_TREG_DN																										GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP												GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP						GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	GSE14308_TH2_VS_NATURAL_TREG_UP	GSE15330_WT_VS_IKAROS_KO_HSC_DN							GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP					GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_DN											GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN				GSE7852_THYMUS_VS_FAT_TREG_DN									
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]			GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP						GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP				GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP	GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_DN																									GSE3400_UNTREATED_VS_IFNB_TREATED_MEF_UP																			GSE3982_BASOPHIL_VS_NKCELL_UP									GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDC_DN												GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP								GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN				GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP								
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]			GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP															GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN																																															GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP									GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN																							GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP			
