
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_ENDOCYTOSIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PEROXISOME	KEGG_ERBB_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_LYSOSOME	KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_ALZHEIMERS_DISEASE	KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_FOCAL_ADHESION	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM			KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		KEGG_PPAR_SIGNALING_PATHWAY						KEGG_INSULIN_SIGNALING_PATHWAY				
4191	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM																
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	KEGG_CITRATE_CYCLE_TCA_CYCLE																	
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]			KEGG_AMINOACYL_TRNA_BIOSYNTHESIS															
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]			KEGG_AMINOACYL_TRNA_BIOSYNTHESIS															
3312	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]				KEGG_ENDOCYTOSIS							KEGG_MAPK_SIGNALING_PATHWAY							
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]				KEGG_ENDOCYTOSIS									KEGG_LYSOSOME					
56288	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]				KEGG_ENDOCYTOSIS												KEGG_CHEMOKINE_SIGNALING_PATHWAY		
5223	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]					KEGG_GLYCOLYSIS_GLUCONEOGENESIS													
2181	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]						KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PEROXISOME									
6416	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]							KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION			KEGG_ERBB_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY							
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]							KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION						KEGG_LYSOSOME					
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]									KEGG_PEROXISOME									
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]										KEGG_ERBB_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		KEGG_INSULIN_SIGNALING_PATHWAY		KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_FOCAL_ADHESION	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
1073	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]												KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS						KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]															KEGG_ALZHEIMERS_DISEASE		KEGG_FOCAL_ADHESION	
488	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]															KEGG_ALZHEIMERS_DISEASE			
129607	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]																		
