
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_324	MODULE_12	MODULE_17	MODULE_1	MODULE_257	MODULE_6	MODULE_60	MODULE_52	MODULE_18	MODULE_24	MODULE_38	MODULE_45	MODULE_72	MODULE_411	MODULE_212	MODULE_341	MODULE_124	MODULE_486	MODULE_2	MODULE_3	MODULE_55	MODULE_88	MODULE_321	MODULE_118	MODULE_397	MODULE_5	MODULE_16	MODULE_84	MODULE_105	MODULE_54	MODULE_44	MODULE_15	MODULE_98	MODULE_53	MODULE_8	MODULE_11	MODULE_100	MODULE_137	MODULE_66	MODULE_23
6282	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	MODULE_324	MODULE_12	MODULE_17	MODULE_1		MODULE_6	MODULE_60	MODULE_52	MODULE_18		MODULE_38	MODULE_45		MODULE_411		MODULE_341			MODULE_2	MODULE_3	MODULE_55	MODULE_88		MODULE_118		MODULE_5	MODULE_16	MODULE_84			MODULE_44			MODULE_53						
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	MODULE_324	MODULE_12	MODULE_17	MODULE_1		MODULE_6		MODULE_52	MODULE_18		MODULE_38	MODULE_45							MODULE_2	MODULE_3				MODULE_118		MODULE_5	MODULE_16	MODULE_84	MODULE_105			MODULE_15		MODULE_53						
2181	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	MODULE_324		MODULE_17					MODULE_52	MODULE_18					MODULE_411	MODULE_212	MODULE_341							MODULE_321	MODULE_118											MODULE_8					
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	MODULE_324																						MODULE_321																	
23770	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]		MODULE_12	MODULE_17		MODULE_257	MODULE_6	MODULE_60			MODULE_24			MODULE_72		MODULE_212			MODULE_486																						
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]		MODULE_12		MODULE_1		MODULE_6	MODULE_60	MODULE_52	MODULE_18	MODULE_24	MODULE_38	MODULE_45	MODULE_72						MODULE_2		MODULE_55	MODULE_88				MODULE_5		MODULE_84				MODULE_15								MODULE_23
9770	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]		MODULE_12		MODULE_1								MODULE_45	MODULE_72														MODULE_16				MODULE_44					MODULE_11	MODULE_100	MODULE_137	MODULE_66	
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]			MODULE_17																	MODULE_3															MODULE_8					
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]					MODULE_257																				MODULE_397					MODULE_54										
4191	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]					MODULE_257																																			
22848	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]							MODULE_60			MODULE_24	MODULE_38										MODULE_55	MODULE_88														MODULE_11	MODULE_100	MODULE_137	MODULE_66	
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]										MODULE_24					MODULE_212						MODULE_55	MODULE_88																		MODULE_23
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]																	MODULE_124	MODULE_486															MODULE_98							
9183	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]																	MODULE_124																							
113130	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]																									MODULE_397					MODULE_54										
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]																													MODULE_105											
6651	SON	SON DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11183]																																	MODULE_98							
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]																																								
3070	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]																																								
389362	PSMG4	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]																																								
4664	NAB1	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]																																								
4839	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]																																								
51601	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]																																								
56683	CFAP298	cilia and flagella associated protein 298 [Source:HGNC Symbol;Acc:HGNC:1301]																																								
57446	NDRG3	NDRG family member 3 [Source:HGNC Symbol;Acc:HGNC:14462]																																								
6416	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]																																								
7264	TSTA3	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]																																								
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]																																								
