
Entrez Gene Id	Gene Symbol	Gene Description	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	GO_CHROMATIN_BINDING	GO_CELL_ADHESION_MEDIATOR_ACTIVITY	GO_CALCIUM_DEPENDENT_PROTEIN_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_RNA_BINDING	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY	GO_ISOMERASE_ACTIVITY	GO_HELICASE_ACTIVITY	GO_LIGASE_ACTIVITY	GO_PROTEIN_KINASE_ACTIVITY	GO_RIBONUCLEOTIDE_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_TRANSCRIPTION_FACTOR_BINDING
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION		GO_CELL_ADHESION_MEDIATOR_ACTIVITY	GO_CALCIUM_DEPENDENT_PROTEIN_BINDING		GO_RNA_BINDING						GO_HELICASE_ACTIVITY				GO_IDENTICAL_PROTEIN_BINDING	
6282	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION		GO_CELL_ADHESION_MEDIATOR_ACTIVITY	GO_CALCIUM_DEPENDENT_PROTEIN_BINDING												GO_IDENTICAL_PROTEIN_BINDING	
113130	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]		GO_CHROMATIN_BINDING			GO_PROTEIN_CONTAINING_COMPLEX_BINDING												
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]		GO_CHROMATIN_BINDING				GO_RNA_BINDING											
3070	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]		GO_CHROMATIN_BINDING										GO_HELICASE_ACTIVITY			GO_RIBONUCLEOTIDE_BINDING		
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]		GO_CHROMATIN_BINDING															
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]					GO_PROTEIN_CONTAINING_COMPLEX_BINDING		GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY			GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY							
22848	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]					GO_PROTEIN_CONTAINING_COMPLEX_BINDING			GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS						GO_PROTEIN_KINASE_ACTIVITY	GO_RIBONUCLEOTIDE_BINDING		
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]					GO_PROTEIN_CONTAINING_COMPLEX_BINDING												
389362	PSMG4	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]					GO_PROTEIN_CONTAINING_COMPLEX_BINDING												
4191	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]						GO_RNA_BINDING			GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS								
6651	SON	SON DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11183]						GO_RNA_BINDING											
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]						GO_RNA_BINDING											
4839	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]						GO_RNA_BINDING											
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]							GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY			GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY							GO_TRANSCRIPTION_FACTOR_BINDING
51601	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]								GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS					GO_LIGASE_ACTIVITY				
6416	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]								GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS						GO_PROTEIN_KINASE_ACTIVITY	GO_RIBONUCLEOTIDE_BINDING		
9770	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]								GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS						GO_PROTEIN_KINASE_ACTIVITY			
7264	TSTA3	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]									GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS		GO_ISOMERASE_ACTIVITY					GO_IDENTICAL_PROTEIN_BINDING	
23770	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]											GO_ISOMERASE_ACTIVITY					GO_IDENTICAL_PROTEIN_BINDING	
2181	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]													GO_LIGASE_ACTIVITY		GO_RIBONUCLEOTIDE_BINDING		
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]															GO_RIBONUCLEOTIDE_BINDING		
