
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_32	MODULE_306	MODULE_52	MODULE_12	MODULE_1	MODULE_110	MODULE_2	MODULE_3	MODULE_244	MODULE_277	MODULE_72	MODULE_83	MODULE_98	MODULE_43	MODULE_198	MODULE_5	MODULE_87	MODULE_18	MODULE_212	MODULE_324	MODULE_16	MODULE_133	MODULE_150	MODULE_160	MODULE_183	MODULE_35	MODULE_6	MODULE_60	MODULE_159	MODULE_439	MODULE_38	MODULE_105	MODULE_124	MODULE_303	MODULE_184	MODULE_221	MODULE_229	MODULE_17	MODULE_321	MODULE_84	MODULE_252	MODULE_397	MODULE_152	MODULE_118	MODULE_24	MODULE_61	MODULE_57	MODULE_151	MODULE_254	MODULE_44	MODULE_114	MODULE_241	MODULE_23	MODULE_107	MODULE_411	MODULE_235	MODULE_76	MODULE_20	MODULE_341	MODULE_204	MODULE_47	MODULE_209	MODULE_532	MODULE_55	MODULE_88	MODULE_174	MODULE_172	MODULE_486	MODULE_459	MODULE_177	MODULE_378	MODULE_317	MODULE_54	MODULE_255	MODULE_179	MODULE_45	MODULE_94	MODULE_93	MODULE_53	MODULE_8	MODULE_26	MODULE_129	MODULE_11	MODULE_100	MODULE_137	MODULE_49	MODULE_66
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	MODULE_32	MODULE_306												MODULE_43			MODULE_87		MODULE_212																MODULE_184	MODULE_221							MODULE_152																																												
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	MODULE_32					MODULE_110			MODULE_244			MODULE_83										MODULE_133		MODULE_160		MODULE_35						MODULE_105																																																							
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	MODULE_32					MODULE_110			MODULE_244													MODULE_133		MODULE_160		MODULE_35			MODULE_159																																																										
9255	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]	MODULE_32					MODULE_110																																																																																	
6741	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	MODULE_32											MODULE_83	MODULE_98		MODULE_198										MODULE_183								MODULE_124								MODULE_252																																														
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	MODULE_32											MODULE_83					MODULE_87						MODULE_150						MODULE_159																			MODULE_151			MODULE_114																																				
5094	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]	MODULE_32											MODULE_83													MODULE_183																																																														
6224	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	MODULE_32											MODULE_83																																				MODULE_151			MODULE_114																																				
6133	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	MODULE_32											MODULE_83																																				MODULE_151			MODULE_114																																				
7284	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	MODULE_32																						MODULE_150						MODULE_159																																																										
5223	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]		MODULE_306												MODULE_43																																																																									
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]		MODULE_306															MODULE_87		MODULE_212																								MODULE_152		MODULE_24								MODULE_23											MODULE_55	MODULE_88																						
5230	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]		MODULE_306																																																																																					
6282	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]			MODULE_52	MODULE_12	MODULE_1		MODULE_2	MODULE_3								MODULE_5		MODULE_18		MODULE_324	MODULE_16						MODULE_6	MODULE_60			MODULE_38							MODULE_17		MODULE_84				MODULE_118						MODULE_44					MODULE_411				MODULE_341					MODULE_55	MODULE_88											MODULE_45			MODULE_53								
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]			MODULE_52	MODULE_12	MODULE_1		MODULE_2	MODULE_3								MODULE_5		MODULE_18		MODULE_324	MODULE_16						MODULE_6				MODULE_38	MODULE_105						MODULE_17		MODULE_84				MODULE_118												MODULE_235	MODULE_76						MODULE_532						MODULE_459		MODULE_378	MODULE_317		MODULE_255	MODULE_179	MODULE_45			MODULE_53								
2335	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]			MODULE_52	MODULE_12	MODULE_1		MODULE_2	MODULE_3								MODULE_5		MODULE_18									MODULE_6	MODULE_60			MODULE_38									MODULE_84				MODULE_118	MODULE_24					MODULE_44		MODULE_241	MODULE_23				MODULE_76				MODULE_47		MODULE_532	MODULE_55	MODULE_88	MODULE_174			MODULE_459		MODULE_378	MODULE_317		MODULE_255	MODULE_179					MODULE_8							
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]			MODULE_52	MODULE_12	MODULE_1		MODULE_2	MODULE_3								MODULE_5			MODULE_212								MODULE_6																	MODULE_118																	MODULE_47																					MODULE_129	MODULE_11	MODULE_100	MODULE_137		MODULE_66
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]			MODULE_52	MODULE_12	MODULE_1		MODULE_2				MODULE_72					MODULE_5		MODULE_18									MODULE_6	MODULE_60			MODULE_38									MODULE_84					MODULE_24								MODULE_23								MODULE_47			MODULE_55	MODULE_88											MODULE_45											
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]			MODULE_52	MODULE_12	MODULE_1		MODULE_2									MODULE_5		MODULE_18									MODULE_6	MODULE_60			MODULE_38									MODULE_84					MODULE_24					MODULE_44														MODULE_55	MODULE_88																						
5347	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]			MODULE_52					MODULE_3	MODULE_244		MODULE_72		MODULE_98		MODULE_198			MODULE_18	MODULE_212		MODULE_16									MODULE_439			MODULE_124	MODULE_303				MODULE_17			MODULE_252	MODULE_397		MODULE_118			MODULE_57		MODULE_254									MODULE_20															MODULE_54						MODULE_53	MODULE_8							
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]			MODULE_52					MODULE_3			MODULE_72					MODULE_5																MODULE_105																																																							
9700	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]			MODULE_52										MODULE_98		MODULE_198			MODULE_18			MODULE_16																										MODULE_57																																							MODULE_49	
9770	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]				MODULE_12	MODULE_1						MODULE_72										MODULE_16																													MODULE_44																										MODULE_45							MODULE_11	MODULE_100	MODULE_137		MODULE_66
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]				MODULE_12			MODULE_2																																																																																
11325	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]					MODULE_1		MODULE_2				MODULE_72								MODULE_212																				MODULE_321																																						MODULE_94			MODULE_8							
7417	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]								MODULE_3													MODULE_16																	MODULE_17																																																	
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]								MODULE_3																																																																															
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]									MODULE_244	MODULE_277			MODULE_98		MODULE_198										MODULE_183									MODULE_303			MODULE_229				MODULE_252																																														
