
Entrez Gene Id	Gene Symbol	Gene Description	PRC2_EED_UP.V1_DN	RB_P107_DN.V1_DN	RPS14_DN.V1_DN	PRC2_EZH2_UP.V1_DN	E2F1_UP.V1_DN	PIGF_UP.V1_UP	RB_P107_DN.V1_UP	CRX_DN.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN	SNF5_DN.V1_UP	ESC_V6.5_UP_LATE.V1_DN	JAK2_DN.V1_UP	DCA_UP.V1_DN	E2F1_UP.V1_UP	ERBB2_UP.V1_UP	PRC2_SUZ12_UP.V1_DN	RAF_UP.V1_UP	MEK_UP.V1_UP	MTOR_UP.N4.V1_UP	CAMP_UP.V1_UP	SIRNA_EIF4GI_UP	CAHOY_ASTROCYTIC	CAHOY_ASTROGLIAL	RB_DN.V1_UP	TBK1.DF_DN	CRX_NRL_DN.V1_DN	NRL_DN.V1_DN	ALK_DN.V1_DN	CRX_NRL_DN.V1_UP	CSR_LATE_UP.V1_DN	AKT_UP.V1_UP	MTOR_UP.V1_UP	GCNP_SHH_UP_EARLY.V1_UP	ESC_J1_UP_EARLY.V1_DN	GCNP_SHH_UP_LATE.V1_UP	RAPA_EARLY_UP.V1_DN	CYCLIN_D1_KE_.V1_UP	IL15_UP.V1_UP	HOXA9_DN.V1_DN	EGFR_UP.V1_UP	RAF_UP.V1_DN	VEGF_A_UP.V1_DN	LEF1_UP.V1_UP	ERBB2_UP.V1_DN	CAMP_UP.V1_DN	STK33_SKM_UP	KRAS.600_UP.V1_DN	STK33_UP	TBK1.DF_UP
55222	LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]	PRC2_EED_UP.V1_DN		RPS14_DN.V1_DN	PRC2_EZH2_UP.V1_DN																																														
5347	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	PRC2_EED_UP.V1_DN		RPS14_DN.V1_DN																																															
24137	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	PRC2_EED_UP.V1_DN			PRC2_EZH2_UP.V1_DN			RB_P107_DN.V1_UP																											GCNP_SHH_UP_EARLY.V1_UP																
3070	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	PRC2_EED_UP.V1_DN			PRC2_EZH2_UP.V1_DN																													MTOR_UP.V1_UP							HOXA9_DN.V1_DN										
5905	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	PRC2_EED_UP.V1_DN												JAK2_DN.V1_UP																																					
29763	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]	PRC2_EED_UP.V1_DN															ERBB2_UP.V1_UP			MEK_UP.V1_UP													AKT_UP.V1_UP																		
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]		RB_P107_DN.V1_DN			E2F1_UP.V1_DN				ESC_V6.5_UP_EARLY.V1_DN			ESC_V6.5_UP_LATE.V1_DN												CAHOY_ASTROGLIAL											ESC_J1_UP_EARLY.V1_DN											CAMP_UP.V1_DN	STK33_SKM_UP		STK33_UP	
9255	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]		RB_P107_DN.V1_DN				PIGF_UP.V1_UP																																					VEGF_A_UP.V1_DN							
5447	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]		RB_P107_DN.V1_DN												DCA_UP.V1_DN					MEK_UP.V1_UP												CSR_LATE_UP.V1_DN																			
25828	TXN2	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]		RB_P107_DN.V1_DN																																																
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]		RB_P107_DN.V1_DN																																																
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]			RPS14_DN.V1_DN	PRC2_EZH2_UP.V1_DN			RB_P107_DN.V1_UP								E2F1_UP.V1_UP																						RAPA_EARLY_UP.V1_DN													
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]			RPS14_DN.V1_DN				RB_P107_DN.V1_UP	CRX_DN.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	ESC_J1_UP_LATE.V1_DN		ESC_V6.5_UP_LATE.V1_DN																		CRX_NRL_DN.V1_UP																				
9700	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]			RPS14_DN.V1_DN																																															
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]				PRC2_EZH2_UP.V1_DN																MTOR_UP.N4.V1_UP																														
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]					E2F1_UP.V1_DN				ESC_V6.5_UP_EARLY.V1_DN							ERBB2_UP.V1_UP		RAF_UP.V1_UP	MEK_UP.V1_UP																						EGFR_UP.V1_UP									
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]					E2F1_UP.V1_DN													RAF_UP.V1_UP																																
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]					E2F1_UP.V1_DN																																													
6416	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]						PIGF_UP.V1_UP											PRC2_SUZ12_UP.V1_DN																								EGFR_UP.V1_UP									
5189	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]						PIGF_UP.V1_UP																																												
79882	ZC3H14	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]						PIGF_UP.V1_UP																																												
4664	NAB1	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]								CRX_DN.V1_DN							E2F1_UP.V1_UP																																			
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]								CRX_DN.V1_DN																			CRX_NRL_DN.V1_DN	NRL_DN.V1_DN											IL15_UP.V1_UP											
8260	NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]										ESC_J1_UP_LATE.V1_DN							PRC2_SUZ12_UP.V1_DN																																	
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]										ESC_J1_UP_LATE.V1_DN																																								
23603	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]											SNF5_DN.V1_UP												CAHOY_ASTROCYTIC																											
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]											SNF5_DN.V1_UP																																							
6892	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]											SNF5_DN.V1_UP																																							
201626	PDE12	phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]												ESC_V6.5_UP_LATE.V1_DN																																						
6698	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]													JAK2_DN.V1_UP	DCA_UP.V1_DN								SIRNA_EIF4GI_UP										AKT_UP.V1_UP	MTOR_UP.V1_UP															KRAS.600_UP.V1_DN		
4640	MYO1A	myosin IA [Source:HGNC Symbol;Acc:HGNC:7595]													JAK2_DN.V1_UP																																					
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]														DCA_UP.V1_DN																																				
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]															E2F1_UP.V1_UP																																			
22924	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]																ERBB2_UP.V1_UP																																KRAS.600_UP.V1_DN		
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]																	PRC2_SUZ12_UP.V1_DN																																	
22848	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]																		RAF_UP.V1_UP																																
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]																				MTOR_UP.N4.V1_UP	CAMP_UP.V1_UP																													
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]																				MTOR_UP.N4.V1_UP																		CYCLIN_D1_KE_.V1_UP												
3276	PRMT1	protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]																					CAMP_UP.V1_UP						CRX_NRL_DN.V1_DN	NRL_DN.V1_DN																						
64786	TBC1D15	TBC1 domain family member 15 [Source:HGNC Symbol;Acc:HGNC:25694]																					CAMP_UP.V1_UP																													
51056	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]																						SIRNA_EIF4GI_UP																												
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]																							CAHOY_ASTROCYTIC																											
10243	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]																								CAHOY_ASTROGLIAL																										TBK1.DF_UP
10273	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]																									RB_DN.V1_UP				ALK_DN.V1_DN																					
5094	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]																									RB_DN.V1_UP																									
51747	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]																										TBK1.DF_DN								GCNP_SHH_UP_EARLY.V1_UP	ESC_J1_UP_EARLY.V1_DN	GCNP_SHH_UP_LATE.V1_UP														
11231	SEC63	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]																										TBK1.DF_DN																								
51441	YTHDF2	YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]																										TBK1.DF_DN																								
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]																													ALK_DN.V1_DN																					
83475	DOHH	deoxyhypusine hydroxylase [Source:HGNC Symbol;Acc:HGNC:28662]																														CRX_NRL_DN.V1_UP																				
9770	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]																															CSR_LATE_UP.V1_DN																			
8661	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]																																				GCNP_SHH_UP_LATE.V1_UP														
5719	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]																																					RAPA_EARLY_UP.V1_DN													
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]																																						CYCLIN_D1_KE_.V1_UP												
4839	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]																																							IL15_UP.V1_UP											
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]																																								HOXA9_DN.V1_DN		RAF_UP.V1_DN								
26130	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]																																										RAF_UP.V1_DN								
