
Entrez Gene Id	Gene Symbol	Gene Description	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	GSE36009_WT_VS_NLRP10_KO_DC_LPS_STIM_UP	GSE22432_MULTIPOTENT_PROGENITOR_VS_CDC_DN	GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP	GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_UP	GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_DN	GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	GSE24726_WT_VS_E2_22_KO_PDC_DAY4_POST_DELETION_DN	GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP	GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP	GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_DN	GSE25087_FETAL_VS_ADULT_TREG_UP	GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_UP	GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	GSE20715_0H_VS_48H_OZONE_LUNG_DN	GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	GSE22886_NEUTROPHIL_VS_DC_DN	GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_DN	GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN	GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP	GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN	GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN	GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN	GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP	GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP	GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN	GSE17721_LPS_VS_PAM3CSK4_6H_BMDC_DN	GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN	GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_DN	GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_DN	GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	GSE32986_UNSTIM_VS_GMCSF_STIM_DC_DN	GSE3982_MAST_CELL_VS_NKCELL_UP	GSE557_WT_VS_I_AB_KO_DC_DN	GSE14308_TH1_VS_INDUCED_TREG_DN	GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	GSE17721_0.5H_VS_8H_POLYIC_BMDC_UP	GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_DN	GSE21063_WT_VS_NFATC1_KO_BCELL_DN	GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN	GSE22886_NAIVE_CD8_TCELL_VS_DC_DN	GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	GSE22935_WT_VS_MYD88_KO_MACROPHAGE_24H_MBOVIS_BCG_STIM_DN	GSE24726_WT_VS_E2_2_KO_PDC_UP	GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP	GSE27786_LSK_VS_NKTCELL_UP	GSE2826_WT_VS_BTK_KO_BCELL_DN	GSE29618_BCELL_VS_MDC_DN	GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP	GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_DN	GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_WT_LIVER_DN	GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN	GSE5099_MONOCYTE_VS_CLASSICAL_M1_MACROPHAGE_DN	GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP	GSE3720_UNSTIM_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP	GSE40493_BCL6_KO_VS_WT_TREG_UP	GSE7768_OVA_ALONE_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP	GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN	GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP	GSE3982_MAST_CELL_VS_BASOPHIL_UP	GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN	GSE32986_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN	GSE360_CTRL_VS_L_MAJOR_DC_UP	GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN	GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN	GSE17721_CTRL_VS_LPS_12H_BMDC_DN	GSE17721_CTRL_VS_POLYIC_8H_BMDC_UP	GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN	GSE22432_CDC_VS_COMMON_DC_PROGENITOR_DN	GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	GSE3982_MAST_CELL_VS_EFF_MEMORY_CD4_TCELL_UP	GSE3982_MAST_CELL_VS_NEUTROPHIL_UP
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN		GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP																																																																																												GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP			
302	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN		GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP				GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP														GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN													GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP		GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP														GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN					GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN		GSE22886_NAIVE_CD8_TCELL_VS_DC_DN								GSE29618_BCELL_VS_MDC_DN	GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN																							GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN								
1653	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN		GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN		GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP						GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP			GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP					GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_DN																			GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP		GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN											GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN								GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP				GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP								GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN													GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN				GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN	GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN								
79902	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN		GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN		GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP							GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_DN																												GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN																																																		GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN								
4733	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN		GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN															GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP														GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP											GSE17721_LPS_VS_PAM3CSK4_6H_BMDC_DN	GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN	GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_DN																			GSE24726_WT_VS_E2_2_KO_PDC_UP																																				
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN			GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP															GSE25087_FETAL_VS_ADULT_TREG_UP	GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_UP				GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN			GSE22886_NEUTROPHIL_VS_DC_DN																		GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_DN			GSE3982_MAST_CELL_VS_NKCELL_UP			GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP									GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP																							GSE3982_MAST_CELL_VS_BASOPHIL_UP							GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP		GSE17721_CTRL_VS_LPS_12H_BMDC_DN							
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN				GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP		GSE22432_MULTIPOTENT_PROGENITOR_VS_CDC_DN								GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN											GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP		GSE22886_NEUTROPHIL_VS_DC_DN									GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP							GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN																		GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN			GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP																						GSE32986_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN							GSE17721_CTRL_VS_POLYIC_8H_BMDC_UP						
2058	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN				GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP									GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN								GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN				GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN											GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP									GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN									GSE21063_WT_VS_NFATC1_KO_BCELL_DN	GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN				GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN				GSE27786_LSK_VS_NKTCELL_UP																	GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP			GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN	GSE32986_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN													
10989	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN					GSE36009_WT_VS_NLRP10_KO_DC_LPS_STIM_UP				GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP			GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP															GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_DN				GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN					GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP									GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN								GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_DN			GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN															GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_DN											GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN										GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN					
