
Entrez Gene Id	Gene Symbol	Gene Description	GCNP_SHH_UP_LATE.V1_UP	VEGF_A_UP.V1_DN	EIF4E_DN	SNF5_DN.V1_UP	RB_P107_DN.V1_DN	CAMP_UP.V1_DN	RPS14_DN.V1_DN	RB_P107_DN.V1_UP	GLI1_UP.V1_DN	PDGF_ERK_DN.V1_UP	ESC_V6.5_UP_EARLY.V1_DN	MTOR_UP.V1_UP	GCNP_SHH_UP_EARLY.V1_UP	TBK1.DF_DN	SIRNA_EIF4GI_UP	E2F1_UP.V1_DN	CYCLIN_D1_UP.V1_DN	PIGF_UP.V1_UP	CRX_DN.V1_DN	NRL_DN.V1_DN	RB_P130_DN.V1_DN	SRC_UP.V1_DN	E2F1_UP.V1_UP	IL15_UP.V1_UP	PRC2_EED_UP.V1_DN	LEF1_UP.V1_UP	P53_DN.V1_UP	MTOR_UP.N4.V1_UP	ERBB2_UP.V1_DN	CAHOY_ASTROGLIAL	EIF4E_UP	RB_DN.V1_DN	CRX_NRL_DN.V1_DN	CSR_EARLY_UP.V1_DN	RB_P130_DN.V1_UP	STK33_SKM_DN	ALK_DN.V1_DN	CSR_EARLY_UP.V1_UP	PKCA_DN.V1_DN	AKT_UP.V1_UP	ESC_J1_UP_EARLY.V1_DN	ESC_V6.5_UP_LATE.V1_DN	MTOR_UP.V1_DN	ATF2_UP.V1_DN	ESC_J1_UP_LATE.V1_UP	RAPA_EARLY_UP.V1_DN	JNK_DN.V1_UP	CYCLIN_D1_KE_.V1_UP	IL2_UP.V1_UP	ATF2_UP.V1_UP	HOXA9_DN.V1_DN	KRAS.DF.V1_UP	ATF2_S_UP.V1_UP	EGFR_UP.V1_UP	KRAS.DF.V1_DN	LTE2_UP.V1_DN	EGFR_UP.V1_DN
10051	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	GCNP_SHH_UP_LATE.V1_UP	VEGF_A_UP.V1_DN																PIGF_UP.V1_UP																																							
4174	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	GCNP_SHH_UP_LATE.V1_UP			SNF5_DN.V1_UP			RPS14_DN.V1_DN	RB_P107_DN.V1_UP				MTOR_UP.V1_UP	GCNP_SHH_UP_EARLY.V1_UP									SRC_UP.V1_DN			PRC2_EED_UP.V1_DN																																
3978	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	GCNP_SHH_UP_LATE.V1_UP							RB_P107_DN.V1_UP														SRC_UP.V1_DN																												ATF2_UP.V1_UP							
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	GCNP_SHH_UP_LATE.V1_UP										ESC_V6.5_UP_EARLY.V1_DN					E2F1_UP.V1_DN																									ESC_J1_UP_EARLY.V1_DN													EGFR_UP.V1_UP			
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]	GCNP_SHH_UP_LATE.V1_UP												GCNP_SHH_UP_EARLY.V1_UP																										PKCA_DN.V1_DN																		
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]	GCNP_SHH_UP_LATE.V1_UP													TBK1.DF_DN															ERBB2_UP.V1_DN																												
25932	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	GCNP_SHH_UP_LATE.V1_UP																			NRL_DN.V1_DN								MTOR_UP.N4.V1_UP					CRX_NRL_DN.V1_DN																								
10528	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	GCNP_SHH_UP_LATE.V1_UP																						E2F1_UP.V1_UP																																		
23435	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	GCNP_SHH_UP_LATE.V1_UP																																																								
10963	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]		VEGF_A_UP.V1_DN				CAMP_UP.V1_DN																																																			
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]		VEGF_A_UP.V1_DN				CAMP_UP.V1_DN																																																			
9493	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]		VEGF_A_UP.V1_DN					RPS14_DN.V1_DN																		PRC2_EED_UP.V1_DN																												ATF2_S_UP.V1_UP				
57187	THOC2	THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]		VEGF_A_UP.V1_DN								PDGF_ERK_DN.V1_UP				TBK1.DF_DN				PIGF_UP.V1_UP																																							
9360	PPIG	peptidylprolyl isomerase G [Source:HGNC Symbol;Acc:HGNC:14650]		VEGF_A_UP.V1_DN												TBK1.DF_DN			CYCLIN_D1_UP.V1_DN	PIGF_UP.V1_UP																																							
7112	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]		VEGF_A_UP.V1_DN																																																							
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]			EIF4E_DN			CAMP_UP.V1_DN	RPS14_DN.V1_DN																																																		
55023	PHIP	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]			EIF4E_DN																															CSR_EARLY_UP.V1_DN									MTOR_UP.V1_DN														
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]			EIF4E_DN																																																						
23215	PRRC2C	proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]			EIF4E_DN																																																						
5903	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]			EIF4E_DN																																																						
10112	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]				SNF5_DN.V1_UP			RPS14_DN.V1_DN																												RB_P130_DN.V1_UP																		ATF2_S_UP.V1_UP				
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]				SNF5_DN.V1_UP									GCNP_SHH_UP_EARLY.V1_UP																																												
23603	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]				SNF5_DN.V1_UP																																																					
23760	PITPNB	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]				SNF5_DN.V1_UP																																																					
6892	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]				SNF5_DN.V1_UP																																																					
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]					RB_P107_DN.V1_DN	CAMP_UP.V1_DN					ESC_V6.5_UP_EARLY.V1_DN					E2F1_UP.V1_DN											P53_DN.V1_UP			CAHOY_ASTROGLIAL											ESC_J1_UP_EARLY.V1_DN	ESC_V6.5_UP_LATE.V1_DN															
5917	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]					RB_P107_DN.V1_DN					PDGF_ERK_DN.V1_UP																																															
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]					RB_P107_DN.V1_DN											E2F1_UP.V1_DN														CAHOY_ASTROGLIAL																											
10808	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]					RB_P107_DN.V1_DN																																											CYCLIN_D1_KE_.V1_UP									
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]					RB_P107_DN.V1_DN																																																				
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]						CAMP_UP.V1_DN																				LEF1_UP.V1_UP																										KRAS.DF.V1_UP		EGFR_UP.V1_UP			
1975	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]						CAMP_UP.V1_DN																																																			
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]							RPS14_DN.V1_DN	RB_P107_DN.V1_UP			ESC_V6.5_UP_EARLY.V1_DN								CRX_DN.V1_DN																							ESC_V6.5_UP_LATE.V1_DN															
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]								RB_P107_DN.V1_UP																																																	
