
Entrez Gene Id	Gene Symbol	Gene Description	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN	GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN	GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN	GSE6875_WT_VS_FOXP3_KO_TREG_UP	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN	GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_UP	GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN	GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_DN	GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP	GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	GSE29618_BCELL_VS_MONOCYTE_UP	GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP	GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP	GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP	GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN	GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP	GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP	GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN	GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP	GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_DN	GSE22886_NAIVE_TCELL_VS_DC_UP	GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	GSE27786_LSK_VS_BCELL_DN	GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_DN	GSE3982_MAC_VS_TH1_DN	GSE3982_MAC_VS_TH2_DN	GSE40273_GATA1_KO_VS_WT_TREG_DN	GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP	GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_UP	GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP	GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP	GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP	GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP	GSE21063_WT_VS_NFATC1_KO_BCELL_DN	GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP	GSE22025_UNTREATED_VS_PROGESTERONE_TREATED_CD4_TCELL_DN	GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_UP	GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP	GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	GSE27786_BCELL_VS_CD8_TCELL_UP	GSE27786_CD8_TCELL_VS_NKTCELL_UP	GSE27786_LIN_NEG_VS_CD8_TCELL_DN	GSE27786_LIN_NEG_VS_NKTCELL_DN	GSE27786_LSK_VS_NKCELL_DN	GSE27786_NKCELL_VS_MONO_MAC_DN	GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN	GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN	GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP	GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_DN	GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP	GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	GSE3982_MAST_CELL_VS_TH2_DN	GSE3982_NEUTROPHIL_VS_BASOPHIL_DN	GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP	GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_DN	GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP	GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP	GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_DN	KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN	GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN	GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP		GSE6875_WT_VS_FOXP3_KO_TREG_UP	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN			GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP		GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_DN			GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP				GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP				GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP						GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP										GSE27786_LSK_VS_BCELL_DN				GSE40273_GATA1_KO_VS_WT_TREG_DN		GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP	GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_UP					GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP					GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP																GSE27786_NKCELL_VS_MONO_MAC_DN														GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP		
10051	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN	GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN			GSE6875_WT_VS_FOXP3_KO_TREG_UP		GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_UP														GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP		GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN			GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP		GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN	GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP					GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP			GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_DN				GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP				GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN		GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP				GSE21063_WT_VS_NFATC1_KO_BCELL_DN	GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP		GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_UP	GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN						GSE27786_CD8_TCELL_VS_NKTCELL_UP	GSE27786_LIN_NEG_VS_CD8_TCELL_DN			GSE27786_NKCELL_VS_MONO_MAC_DN		GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN		GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_DN		GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	GSE3982_MAST_CELL_VS_TH2_DN	GSE3982_NEUTROPHIL_VS_BASOPHIL_DN								KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN							GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_UP								GSE29618_BCELL_VS_MONOCYTE_UP	GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP								GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP				GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP				GSE22886_NAIVE_TCELL_VS_DC_UP				GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP											GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP										GSE22025_UNTREATED_VS_PROGESTERONE_TREATED_CD4_TCELL_DN				GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP		GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN							GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN										GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN				
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]		GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN	GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN	GSE6875_WT_VS_FOXP3_KO_TREG_UP	GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN					GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_DN				GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN		GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP												GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN										GSE3982_MAC_VS_TH1_DN		GSE40273_GATA1_KO_VS_WT_TREG_DN							GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP		GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP																			GSE27786_LSK_VS_NKCELL_DN																	
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]			GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP			GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN			GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN								GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN																								GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP							GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP			GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN						GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN														GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP						GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP						GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_DN	KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]				GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN								GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP							GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP					GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP								GSE22886_NAIVE_TCELL_VS_DC_UP	GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN		GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP			GSE3982_MAC_VS_TH1_DN	GSE3982_MAC_VS_TH2_DN															GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_DN								GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN																	GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN				
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]				GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN								GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP									GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN			GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN			GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP					GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_DN				GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP		GSE27786_LSK_VS_BCELL_DN														GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP	GSE21063_WT_VS_NFATC1_KO_BCELL_DN						GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_UP		GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP				GSE27786_BCELL_VS_CD8_TCELL_UP		GSE27786_LIN_NEG_VS_CD8_TCELL_DN	GSE27786_LIN_NEG_VS_NKTCELL_DN	GSE27786_LSK_VS_NKCELL_DN				GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP		GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP					GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_DN						
23256	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]							GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN			GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN													GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP																							GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP																													GSE3982_BASOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP			GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP							
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]													GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP	GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	GSE29618_BCELL_VS_MONOCYTE_UP				GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_UP						GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN					GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP								GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_DN		GSE3982_MAC_VS_TH2_DN				GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_UP	GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN				GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP													GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN				GSE27786_CD8_TCELL_VS_NKTCELL_UP		GSE27786_LIN_NEG_VS_NKTCELL_DN				GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN		GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_DN	GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP								GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP		GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_DN	
