
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_202	MODULE_29	MODULE_524	MODULE_419	MODULE_151	MODULE_83	MODULE_114	MODULE_97	MODULE_182	MODULE_321	MODULE_72	MODULE_1	MODULE_33	MODULE_2	MODULE_3	MODULE_118	MODULE_6	MODULE_52	MODULE_5
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	MODULE_202		MODULE_524	MODULE_419							MODULE_72	MODULE_1		MODULE_2	MODULE_3	MODULE_118	MODULE_6	MODULE_52	MODULE_5
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	MODULE_202		MODULE_524	MODULE_419															
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]		MODULE_29			MODULE_151	MODULE_83	MODULE_114												
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]		MODULE_29			MODULE_151	MODULE_83	MODULE_114												
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]					MODULE_151	MODULE_83	MODULE_114												
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]								MODULE_97	MODULE_182										
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]								MODULE_97	MODULE_182										
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]										MODULE_321							MODULE_6		MODULE_5
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]										MODULE_321									
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]											MODULE_72	MODULE_1	MODULE_33	MODULE_2	MODULE_3	MODULE_118		MODULE_52	
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]													MODULE_33						
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]																			
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]																			
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]																			
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]																			
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]																			
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]																			
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]																			
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]																			
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]																			
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]																			
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]																			
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]																			
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]																			
