
Entrez Gene Id	Gene Symbol	Gene Description	CAMP_UP.V1_DN	RB_DN.V1_DN	E2F1_UP.V1_DN	EGFR_UP.V1_UP
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	CAMP_UP.V1_DN			EGFR_UP.V1_UP
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	CAMP_UP.V1_DN			
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	CAMP_UP.V1_DN			
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]		RB_DN.V1_DN		
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]		RB_DN.V1_DN		
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]			E2F1_UP.V1_DN	EGFR_UP.V1_UP
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]			E2F1_UP.V1_DN	
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]				
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]				
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]				
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]				
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]				
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]				
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]				
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]				
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]				
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]				
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]				
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]				
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]				
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]				
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]				
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]				
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]				
