
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_RHO_GTPASES_ACTIVATE_PAKS	REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_INTERFERON_SIGNALING	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_	REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_DNA_REPAIR	REACTOME_PROTEIN_UBIQUITINATION	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_INFECTIOUS_DISEASE	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_DISEASE	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_METABOLISM_OF_STEROIDS	REACTOME_INFLUENZA_INFECTION	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_RRNA_PROCESSING	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_METABOLISM_OF_LIPIDS	REACTOME_TRANSLATION	REACTOME_DEUBIQUITINATION	REACTOME_RHO_GTPASE_EFFECTORS
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	REACTOME_RHO_GTPASES_ACTIVATE_PAKS		REACTOME_INTERFERON_SIGNALING								REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES					REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM															REACTOME_RHO_GTPASE_EFFECTORS
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	REACTOME_RHO_GTPASES_ACTIVATE_PAKS																								REACTOME_NERVOUS_SYSTEM_DEVELOPMENT						REACTOME_RHO_GTPASE_EFFECTORS
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]		REACTOME_NEUTROPHIL_DEGRANULATION			REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI			REACTOME_DNA_REPAIR	REACTOME_PROTEIN_UBIQUITINATION				REACTOME_INFECTIOUS_DISEASE				REACTOME_DISEASE												REACTOME_DEUBIQUITINATION	
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]		REACTOME_NEUTROPHIL_DEGRANULATION			REACTOME_INNATE_IMMUNE_SYSTEM																							REACTOME_METABOLISM_OF_LIPIDS			
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]		REACTOME_NEUTROPHIL_DEGRANULATION			REACTOME_INNATE_IMMUNE_SYSTEM																										
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]		REACTOME_NEUTROPHIL_DEGRANULATION			REACTOME_INNATE_IMMUNE_SYSTEM																										
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]			REACTOME_INTERFERON_SIGNALING								REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES					REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM															
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]			REACTOME_INTERFERON_SIGNALING													REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM															
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]				REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_		REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_															REACTOME_METABOLISM_OF_STEROIDS						REACTOME_METABOLISM_OF_LIPIDS			
