
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY	GO_ACTIN_BINDING	GO_CALMODULIN_BINDING	GO_ACTIN_FILAMENT_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_RIBONUCLEOTIDE_BINDING	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS	GO_CYTOSKELETAL_PROTEIN_BINDING
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY	GO_ACTIN_BINDING		GO_ACTIN_FILAMENT_BINDING				GO_CYTOSKELETAL_PROTEIN_BINDING
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY							
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING			GO_ACTIN_BINDING						GO_CYTOSKELETAL_PROTEIN_BINDING
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	GO_RNA_BINDING	GO_CADHERIN_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING									
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	GO_RNA_BINDING						GO_ACTIN_BINDING	GO_CALMODULIN_BINDING	GO_ACTIN_FILAMENT_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_RIBONUCLEOTIDE_BINDING		GO_CYTOSKELETAL_PROTEIN_BINDING
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]	GO_RNA_BINDING												
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]	GO_RNA_BINDING												
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]			GO_IDENTICAL_PROTEIN_BINDING		GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY				GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_RIBONUCLEOTIDE_BINDING		
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]			GO_IDENTICAL_PROTEIN_BINDING		GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY				GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_RIBONUCLEOTIDE_BINDING		
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]								GO_CALMODULIN_BINDING					
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]											GO_RIBONUCLEOTIDE_BINDING	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS	
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]												GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS	
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]													
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]													
