
Entrez Gene Id	Gene Symbol	Gene Description	CAMP_UP.V1_DN	EGFR_UP.V1_UP
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	CAMP_UP.V1_DN	EGFR_UP.V1_UP
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	CAMP_UP.V1_DN	
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	CAMP_UP.V1_DN	
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]		EGFR_UP.V1_UP
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]		
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]		
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]		
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]		
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]		
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]		
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]		
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]		
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]		
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]		
