Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_RNA_BINDING	1975	Interacting selectively and non-covalently with an RNA molecule or a portion thereof. [GOC:jl, GOC:mah]	70	0.0354	2.34E-51	3.96E-48
GO_RIBONUCLEOTIDE_BINDING	1899	Interacting selectively and non-covalently with a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety. [GOC:mah]	40	0.0211	8.71E-20	7.39E-17
GO_CYTOSKELETAL_PROTEIN_BINDING	979	Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton). [GOC:mah]	29	0.0296	3.2E-18	1.81E-15
GO_ADENYL_NUCLEOTIDE_BINDING	1546	Interacting selectively and non-covalently with adenyl nucleotides, any compound consisting of adenosine esterified with (ortho)phosphate. [ISBN:0198506732]	34	0.0220	2.34E-17	8.02E-15
GO_CADHERIN_BINDING	332	Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion. [GOC:bf]	19	0.0572	2.36E-17	8.02E-15
GO_PROTEIN_CONTAINING_COMPLEX_BINDING	1258	Interacting selectively and non-covalently with a macromolecular complex. [GOC:jl]	30	0.0238	2.78E-16	7.86E-14
GO_IDENTICAL_PROTEIN_BINDING	1926	Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]	36	0.0187	3.68E-16	8.91E-14
GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	857	Catalysis of the hydrolysis of any acid anhydride. [GOC:jl]	24	0.0280	1.17E-14	2.49E-12
GO_CELL_ADHESION_MOLECULE_BINDING	544	Interacting selectively and non-covalently with a cell adhesion molecule. [GOC:ai]	20	0.0368	1.53E-14	2.89E-12
GO_ATPASE_ACTIVITY	423	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction. [EC:3.6.1.3, GOC:jl]	17	0.0402	3.91E-13	6.64E-11
GO_ACTIN_BINDING	437	Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments. [GOC:clt]	16	0.0366	8.07E-12	1.24E-9
GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	714	Interacting selectively and non-covalently with a specific domain of a protein. [GOC:go_curators]	19	0.0266	2.03E-11	2.87E-9
