Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_TIGHT_JUNCTION	132	Tight junction	4	0.0303	9.73E-5	1.81E-2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	4	0.0188	6.02E-4	5.6E-2
KEGG_OOCYTE_MEIOSIS	113	Oocyte meiosis	3	0.0265	1.13E-3	5.82E-2
KEGG_THYROID_CANCER	29	Thyroid cancer	2	0.0690	1.25E-3	5.82E-2
KEGG_PATHWAYS_IN_CANCER	325	Pathways in cancer	4	0.0123	2.83E-3	1.05E-1
KEGG_FOCAL_ADHESION	199	Focal adhesion	3	0.0151	5.59E-3	1.49E-1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	2	0.0323	5.62E-3	1.49E-1
KEGG_VIRAL_MYOCARDITIS	70	Viral myocarditis	2	0.0286	7.11E-3	1.65E-1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	Hypertrophic cardiomyopathy (HCM)	2	0.0241	9.86E-3	1.93E-1
KEGG_RIBOSOME	88	Ribosome	2	0.0227	1.1E-2	1.93E-1
KEGG_DILATED_CARDIOMYOPATHY	90	Dilated cardiomyopathy	2	0.0222	1.15E-2	1.93E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	3	0.0112	1.24E-2	1.93E-1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	Ubiquitin mediated proteolysis	2	0.0148	2.47E-2	3.37E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	2	0.0146	2.54E-2	3.37E-1


