Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_CLINICAL_COURSE	1394	Clinical course	24	0.0172	2.56E-11	1.15E-7
HP_HYPERTONIA	870	Hypertonia	19	0.0218	7.42E-11	1.24E-7
HP_UPPER_MOTOR_NEURON_DYSFUNCTION	1102	Upper motor neuron dysfunction	21	0.0191	8.31E-11	1.24E-7
HP_SPASTICITY	728	Spasticity	17	0.0234	2.91E-10	3.27E-7
HP_ABNORMAL_MYELINATION	456	Abnormal myelination	14	0.0307	3.65E-10	3.29E-7
HP_APLASIA_HYPOPLASIA_OF_THE_CEREBRUM	1226	Aplasia/Hypoplasia of the cerebrum	21	0.0171	5.71E-10	4.27E-7
HP_FEEDING_DIFFICULTIES	801	Feeding difficulties	17	0.0212	1.23E-9	7.91E-7
HP_ABNORMAL_REFLEX	1070	Abnormal reflex	19	0.0178	2.29E-9	1.28E-6
HP_ABNORMALITY_OF_SKULL_SIZE	1266	Abnormality of skull size	20	0.0158	6.01E-9	3E-6
HP_DECREASED_HEAD_CIRCUMFERENCE	1025	Decreased head circumference	18	0.0176	7.45E-9	3.35E-6
HP_GAIT_DISTURBANCE	926	Gait disturbance	17	0.0184	1.06E-8	4.14E-6
HP_GENERALIZED_HYPOTONIA	929	Generalized hypotonia	17	0.0183	1.11E-8	4.14E-6
HP_ONSET	1002	Onset	17	0.0170	3.32E-8	1.15E-5
HP_FUNCTIONAL_RESPIRATORY_ABNORMALITY	1159	Functional respiratory abnormality	18	0.0155	4.81E-8	1.48E-5
HP_INVOLUNTARY_MOVEMENTS	905	Involuntary movements	16	0.0177	4.95E-8	1.48E-5
HP_ABNORMAL_CORPUS_CALLOSUM_MORPHOLOGY	686	Abnormal corpus callosum morphology	14	0.0204	6.33E-8	1.78E-5
HP_ABNORMALITY_OF_THE_CEREBRAL_VENTRICLES	703	Abnormality of the cerebral ventricles	14	0.0199	8.54E-8	2.26E-5
HP_DYSTONIA	401	Dystonia	11	0.0274	9.54E-8	2.38E-5
HP_BRAIN_ATROPHY	613	Brain atrophy	13	0.0212	1.24E-7	2.93E-5
HP_HYPOPLASIA_OF_THE_PONS	37	Hypoplasia of the pons	5	0.1351	1.39E-7	3.11E-5
HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX	879	Abnormality of the cerebral subcortex	15	0.0171	2.1E-7	4.49E-5
HP_NEUROLOGICAL_SPEECH_IMPAIRMENT	1022	Neurological speech impairment	16	0.0157	2.55E-7	5.22E-5
HP_IMPAIRMENT_IN_PERSONALITY_FUNCTIONING	548	Impairment in personality functioning	12	0.0219	2.76E-7	5.39E-5
HP_ABNORMAL_INVOLUNTARY_EYE_MOVEMENTS	908	Abnormal involuntary eye movements	15	0.0165	3.17E-7	5.93E-5
HP_ABNORMALITY_OF_UPPER_LIP	683	Abnormality of upper lip	13	0.0190	4.22E-7	7.59E-5
HP_DELAYED_SPEECH_AND_LANGUAGE_DEVELOPMENT	696	Delayed speech and language development	13	0.0187	5.22E-7	9.02E-5
HP_ATROPHY_DEGENERATION_AFFECTING_THE_CENTRAL_NERVOUS_SYSTEM	701	Atrophy/Degeneration affecting the central nervous system	13	0.0185	5.65E-7	9.41E-5
HP_HYPOPLASIA_OF_THE_CORPUS_CALLOSUM	385	Hypoplasia of the corpus callosum	10	0.0260	6.14E-7	9.75E-5
HP_ABNORMAL_CNS_MYELINATION	217	Abnormal CNS myelination	8	0.0369	6.35E-7	9.75E-5
HP_ABNORMALITY_OF_THE_PONS	50	Abnormality of the pons	5	0.1000	6.51E-7	9.75E-5
HP_RESPIRATORY_INSUFFICIENCY	495	Respiratory insufficiency	11	0.0222	7.67E-7	1.11E-4
HP_ABNORMALITY_OF_HINDBRAIN_MORPHOLOGY	748	Abnormality of hindbrain morphology	13	0.0174	1.16E-6	1.63E-4
HP_ABNORMALITY_OF_THE_UPPER_URINARY_TRACT	1161	Abnormality of the upper urinary tract	16	0.0138	1.36E-6	1.85E-4
HP_ABNORMAL_EYELID_MORPHOLOGY	1024	Abnormal eyelid morphology	15	0.0146	1.42E-6	1.87E-4
HP_ABNORMALITY_OF_PRENATAL_DEVELOPMENT_OR_BIRTH	765	Abnormality of prenatal development or birth	13	0.0170	1.49E-6	1.91E-4
HP_HYPERLORDOSIS	174	Hyperlordosis	7	0.0402	1.83E-6	2.28E-4
HP_MOTOR_DELAY	549	Motor delay	11	0.0200	2.09E-6	2.54E-4
HP_HIGH_PALATE	559	High palate	11	0.0197	2.48E-6	2.93E-4
HP_ABNORMALITY_OF_GLOBE_LOCATION	808	Abnormality of globe location	13	0.0161	2.71E-6	3.12E-4
HP_ABNORMALITY_OF_BRAINSTEM_MORPHOLOGY	187	Abnormality of brainstem morphology	7	0.0374	2.95E-6	3.26E-4
HP_ABNORMAL_PATTERN_OF_RESPIRATION	358	Abnormal pattern of respiration	9	0.0251	2.98E-6	3.26E-4
HP_ABNORMALITY_OF_THE_ORBITAL_REGION	1239	Abnormality of the orbital region	16	0.0129	3.13E-6	3.35E-4
HP_ABNORMALITY_OF_CONNECTIVE_TISSUE	1252	Abnormality of connective tissue	16	0.0128	3.57E-6	3.66E-4
HP_ABNORMALITY_OF_THE_OUTER_EAR	964	Abnormality of the outer ear	14	0.0145	3.59E-6	3.66E-4
HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS	1111	Abnormality of the abdominal organs	15	0.0135	3.82E-6	3.81E-4
HP_OPISTHOTONUS	33	Opisthotonus	4	0.1212	4.15E-6	4.05E-4
HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	981	Abnormality of the curvature of the vertebral column	14	0.0143	4.38E-6	4.19E-4
HP_ABNORMAL_LIP_MORPHOLOGY	853	Abnormal lip morphology	13	0.0152	4.87E-6	4.55E-4
HP_ABNORMAL_RENAL_MORPHOLOGY	861	Abnormal renal morphology	13	0.0151	5.38E-6	4.93E-4
HP_CEREBELLAR_HYPOPLASIA	206	Cerebellar hypoplasia	7	0.0340	5.58E-6	5.01E-4
HP_ABNORMALITY_OF_JOINT_MOBILITY	1008	Abnormality of joint mobility	14	0.0139	5.96E-6	5.25E-4
HP_UNDERDEVELOPED_NASAL_ALAE	79	Underdeveloped nasal alae	5	0.0633	6.42E-6	5.55E-4
HP_ABNORMALITY_OF_THE_PHILTRUM	503	Abnormality of the philtrum	10	0.0199	6.61E-6	5.61E-4
HP_ABNORMAL_RESPIRATORY_SYSTEM_MORPHOLOGY	1028	Abnormal respiratory system morphology	14	0.0136	7.44E-6	6.16E-4
HP_DECREASED_BODY_WEIGHT	1176	Decreased body weight	15	0.0128	7.53E-6	6.16E-4
HP_ABNORMAL_FACIAL_SHAPE	901	Abnormal facial shape	13	0.0144	8.73E-6	7E-4
HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION	311	Abnormality of upper lip vermillion	8	0.0257	9.11E-6	7.18E-4
HP_DEATH_IN_INFANCY	147	Death in infancy	6	0.0408	9.43E-6	7.31E-4
HP_ABNORMAL_TENDON_MORPHOLOGY	647	Abnormal tendon morphology	11	0.0170	9.86E-6	7.51E-4
HP_ABNORMALITY_OF_THE_THORAX	785	Abnormality of the thorax	12	0.0153	1.11E-5	8.33E-4
HP_DELAYED_MYELINATION	154	Delayed myelination	6	0.0390	1.23E-5	9.06E-4
HP_MUSCULAR_HYPOTONIA_OF_THE_TRUNK	155	Muscular hypotonia of the trunk	6	0.0387	1.28E-5	9.24E-4
HP_DEPRESSED_NASAL_BRIDGE	430	Depressed nasal bridge	9	0.0209	1.29E-5	9.24E-4
HP_DILATATION	156	Dilatation	6	0.0385	1.32E-5	9.29E-4
HP_MORTALITY_AGING	237	Mortality/Aging	7	0.0295	1.39E-5	9.59E-4
HP_APLASIA_HYPOPLASIA_INVOLVING_THE_NOSE	93	Aplasia/Hypoplasia involving the nose	5	0.0538	1.43E-5	9.61E-4
HP_ABNORMALITY_OF_COORDINATION	945	Abnormality of coordination	13	0.0138	1.44E-5	9.61E-4
HP_NEONATAL_HYPOTONIA	159	Neonatal hypotonia	6	0.0377	1.47E-5	9.61E-4
HP_VENTRICULOMEGALY	552	Ventriculomegaly	10	0.0181	1.48E-5	9.61E-4
HP_ABNORMAL_PYRAMIDAL_SIGN	336	Abnormal pyramidal sign	8	0.0238	1.59E-5	1.02E-3
HP_ABNORMAL_CARDIOVASCULAR_SYSTEM_PHYSIOLOGY	1112	Abnormal cardiovascular system physiology	14	0.0126	1.78E-5	1.13E-3
HP_AUTISTIC_BEHAVIOR	450	Autistic behavior	9	0.0200	1.85E-5	1.16E-3
HP_PACE_OF_PROGRESSION	453	Pace of progression	9	0.0199	1.95E-5	1.2E-3
HP_LEUKODYSTROPHY	101	Leukodystrophy	5	0.0495	2.13E-5	1.29E-3
HP_ABNORMAL_VASCULAR_MORPHOLOGY	704	Abnormal vascular morphology	11	0.0156	2.15E-5	1.29E-3
HP_ABNORMALITY_OF_THE_FOREHEAD	843	Abnormality of the forehead	12	0.0142	2.24E-5	1.33E-3
HP_POLYMICROGYRIA	172	Polymicrogyria	6	0.0349	2.3E-5	1.34E-3
HP_ABNORMAL_MORPHOLOGY_OF_THE_GREAT_VESSELS	464	Abnormal morphology of the great vessels	9	0.0194	2.35E-5	1.36E-3
