Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	Aminoacyl-tRNA biosynthesis	5	0.1220	2.36E-7	4.39E-5
KEGG_PEROXISOME	78	Peroxisome	4	0.0513	1.29E-4	8.9E-3
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	Citrate cycle (TCA cycle)	3	0.0968	1.44E-4	8.9E-3
KEGG_RIBOSOME	88	Ribosome	4	0.0455	2.06E-4	9.56E-3
KEGG_ENDOCYTOSIS	181	Endocytosis	5	0.0276	3.34E-4	1.24E-2
KEGG_OOCYTE_MEIOSIS	113	Oocyte meiosis	4	0.0354	5.33E-4	1.65E-2
KEGG_TIGHT_JUNCTION	132	Tight junction	4	0.0303	9.54E-4	2.54E-2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	3	0.0484	1.12E-3	2.61E-2
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	Epithelial cell signaling in Helicobacter pylori infection	3	0.0441	1.47E-3	2.84E-2
KEGG_PPAR_SIGNALING_PATHWAY	69	PPAR signaling pathway	3	0.0435	1.53E-3	2.84E-2
KEGG_SELENOAMINO_ACID_METABOLISM	26	Selenoamino acid metabolism	2	0.0769	3.27E-3	5.54E-2
KEGG_FOCAL_ADHESION	199	Focal adhesion	4	0.0201	4.23E-3	6.56E-2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	4	0.0188	5.38E-3	7.69E-2
KEGG_PYRUVATE_METABOLISM	40	Pyruvate metabolism	2	0.0500	7.63E-3	1.01E-1
KEGG_FATTY_ACID_METABOLISM	42	Fatty acid metabolism	2	0.0476	8.38E-3	1.04E-1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	Amino sugar and nucleotide sugar metabolism	2	0.0455	9.17E-3	1.07E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	4	0.0150	1.17E-2	1.28E-1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	Adipocytokine signaling pathway	2	0.0299	2.04E-2	2.11E-1
KEGG_LONG_TERM_DEPRESSION	70	Long-term depression	2	0.0286	2.22E-2	2.17E-1
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	TGF-beta signaling pathway	2	0.0233	3.24E-2	2.86E-1
KEGG_ERBB_SIGNALING_PATHWAY	87	ErbB signaling pathway	2	0.0230	3.31E-2	2.86E-1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	Antigen processing and presentation	2	0.0227	3.38E-2	2.86E-1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	Fc gamma R-mediated phagocytosis	2	0.0208	3.96E-2	3.2E-1
KEGG_LYSOSOME	121	Lysosome	2	0.0165	5.99E-2	4.64E-1
KEGG_CELL_CYCLE	125	Cell cycle	2	0.0160	6.34E-2	4.66E-1
KEGG_SPLICEOSOME	127	Spliceosome	2	0.0157	6.52E-2	4.66E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	2	0.0146	7.43E-2	5.12E-1
KEGG_WNT_SIGNALING_PATHWAY	151	Wnt signaling pathway	2	0.0132	8.77E-2	5.83E-1
KEGG_ALZHEIMERS_DISEASE	166	Alzheimer's disease	2	0.0120	1.03E-1	6.6E-1
KEGG_CALCIUM_SIGNALING_PATHWAY	178	Calcium signaling pathway	2	0.0112	1.15E-1	7.16E-1
KEGG_HUNTINGTONS_DISEASE	182	Huntington's disease	2	0.0110	1.2E-1	7.18E-1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	Chemokine signaling pathway	2	0.0106	1.27E-1	7.4E-1


