Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_TRANSLATION	295	Translation	13	0.0441	1.92E-11	2.98E-8
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	16	0.0238	7.63E-10	5.93E-7
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	15	0.0238	2.62E-9	1.36E-6
REACTOME_TRNA_AMINOACYLATION	42	tRNA Aminoacylation	6	0.1429	5.18E-9	2.01E-6
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	24	Cytosolic tRNA aminoacylation	5	0.2083	1.4E-8	3.78E-6
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	191	Separation of Sister Chromatids	9	0.0471	1.51E-8	3.78E-6
REACTOME_VESICLE_MEDIATED_TRANSPORT	724	Vesicle-mediated transport	15	0.0207	1.7E-8	3.78E-6
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	7	0.0761	2.36E-8	4.59E-6
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	236	Mitotic Metaphase and Anaphase	9	0.0381	9.28E-8	1.6E-5
REACTOME_SELENOAMINO_ACID_METABOLISM	118	Selenoamino acid metabolism	7	0.0593	1.32E-7	2.06E-5
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	15	0.0173	1.74E-7	2.45E-5
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	7	0.0556	2.08E-7	2.69E-5
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	8	0.0394	3.84E-7	4.59E-5
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	374	Metabolism of amino acids and derivatives	10	0.0267	4.72E-7	5.24E-5
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	12	0.0196	8.97E-7	9.29E-5
REACTOME_DISEASE	1580	Disease	19	0.0120	9.92E-7	9.64E-5
