Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_TRANSCYTOSIS	20	The directed movement of endocytosed material through the cell and its exocytosis from the plasma membrane at the opposite side. [ISBN:0716731363]	2	0.1000	4.03E-5	3.05E-1
GO_TRANSFERRIN_TRANSPORT	36	The directed movement of transferrin into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:mlg]	2	0.0556	1.33E-4	4.26E-1
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	281	A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane. [GOC:mah]	3	0.0107	3.04E-4	4.26E-1
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	59	Any process that stops, prevents, or reduces the frequency, rate or extent of small GTPase mediated signal transduction. [GOC:ai]	2	0.0339	3.59E-4	4.26E-1
GO_CYTOSKELETON_ORGANIZATION	1396	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures. [GOC:dph, GOC:jl, GOC:mah]	5	0.0036	3.94E-4	4.26E-1
GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	323	Any process that modulates the frequency, rate or extent of small GTPase mediated signal transduction. [GOC:go_curators]	3	0.0093	4.57E-4	4.26E-1
GO_ACTIN_FILAMENT_BASED_PROCESS	804	Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins. [GOC:mah]	4	0.0050	4.9E-4	4.26E-1
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	71	A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand. [GOC:mah, ISBN:0198506732]	2	0.0282	5.19E-4	4.26E-1
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	340	A process in which a protein is transported to, or maintained in, the cell periphery. [PMID:18216290]	3	0.0088	5.3E-4	4.26E-1
GO_IRON_ION_TRANSPORT	79	The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	2	0.0253	6.42E-4	4.26E-1
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST	81	Any process that increases the rate, frequency, or extent of cell cycle arrest, the process in which the cell cycle is halted during one of the normal phases. [GOC:mah]	2	0.0247	6.75E-4	4.26E-1
GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	81	Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and lengthening the telomeric DNA. [GOC:dph, GOC:tb]	2	0.0247	6.75E-4	4.26E-1
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	400	Any process that activates or increases the frequency, rate or extent of establishment of protein localization. [GO_REF:0000058, GOC:TermGenie, PMID:22761445]	3	0.0075	8.49E-4	4.7E-1
GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	92	The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport. [GOC:jl, PMID:10873832, PMID:16936697]	2	0.0217	8.69E-4	4.7E-1
GO_REGULATION_OF_PROTEIN_LOCALIZATION	994	Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location. [GOC:dph, GOC:mah, GOC:tb]	4	0.0040	1.08E-3	5.14E-1
GO_REGULATION_OF_CELL_CYCLE_ARREST	106	Any process that modulates the rate, frequency, or extent of cell cycle arrest, the process in which the cell cycle is halted during one of the normal phases. [GOC:mah]	2	0.0189	1.15E-3	5.14E-1
GO_REGULATION_OF_CELLULAR_LOCALIZATION	1011	Any process that modulates the frequency, rate or extent of a process in which a cell, a substance, or a cellular entity is transported to, or maintained in a specific location within or in the membrane of a cell. [GOC:dph, GOC:tb]	4	0.0040	1.15E-3	5.14E-1
