Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN	199	Genes down-regulated in double positive thymocytes: wildtype versus TCF12 [GeneID=6938] knockout.	4	0.0201	2.16E-6	1.05E-2
GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP	161	Genes up-regulated in splenocytes: control versus infected with Sendai virus.	3	0.0186	5.88E-5	3.03E-2
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP	171	Genes up-regulated in cells from Flt3L Melanom injected mice: 33D1+ versus CD4 [GeneID=920] T cells.	3	0.0175	7.04E-5	3.03E-2
GSE38696_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	184	Genes up-regulated in B lymphocytes: light zone versus dark zone.	3	0.0163	8.74E-5	3.03E-2
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_DN	193	Genes down-regulated in comparison of control conventional dendritic cells (cDC) at 1 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.	3	0.0155	1.01E-4	3.03E-2
GSE13411_NAIVE_VS_MEMORY_BCELL_DN	198	Genes down-regulated in comparison of naive B cells versus memory B cells.	3	0.0152	1.09E-4	3.03E-2
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_UP	198	Genes up-regulated in D10.G4.1 T cell line (12h): control versus treated with NMU [GeneID=10874].	3	0.0152	1.09E-4	3.03E-2
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	199	Genes down-regulated in peripheral blood mononuclear cells (PBMC) from patients with type 1 diabetes at the time of diagnosis versus those with type 2 diabetes at the time of diagnosis.	3	0.0151	1.1E-4	3.03E-2
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	200	Genes up-regulated in IRF4 and IRF8 [GeneID=3662;3394] null pre-B cells treated with IL7 [GeneID=3574]: 5 ng/ml versus 0.25ng/ml.	3	0.0150	1.12E-4	3.03E-2
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP	200	Genes up-regulated in monocyte-derived macrophages: no priming, stimulated by interferon alpha versus primed by IFNG [GeneID=3458] and then stimulated by interferon alpha.	3	0.0150	1.12E-4	3.03E-2
