Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	Citrate cycle (TCA cycle)	3	0.0968	1.54E-5	2.86E-3
KEGG_PYRUVATE_METABOLISM	40	Pyruvate metabolism	2	0.0500	1.77E-3	1.15E-1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	Aminoacyl-tRNA biosynthesis	2	0.0488	1.86E-3	1.15E-1
KEGG_ENDOCYTOSIS	181	Endocytosis	3	0.0166	2.82E-3	1.2E-1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	2	0.0323	4.2E-3	1.2E-1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	Adipocytokine signaling pathway	2	0.0299	4.88E-3	1.2E-1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	Epithelial cell signaling in Helicobacter pylori infection	2	0.0294	5.02E-3	1.2E-1
KEGG_PPAR_SIGNALING_PATHWAY	69	PPAR signaling pathway	2	0.0290	5.17E-3	1.2E-1
KEGG_PEROXISOME	78	Peroxisome	2	0.0256	6.56E-3	1.36E-1
KEGG_ERBB_SIGNALING_PATHWAY	87	ErbB signaling pathway	2	0.0230	8.1E-3	1.4E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	3	0.0112	8.28E-3	1.4E-1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	Fc gamma R-mediated phagocytosis	2	0.0208	9.78E-3	1.52E-1
KEGG_LYSOSOME	121	Lysosome	2	0.0165	1.52E-2	2.17E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	2	0.0146	1.92E-2	2.55E-1
KEGG_ALZHEIMERS_DISEASE	166	Alzheimer's disease	2	0.0120	2.74E-2	3.4E-1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	Chemokine signaling pathway	2	0.0106	3.48E-2	4.04E-1
KEGG_FOCAL_ADHESION	199	Focal adhesion	2	0.0101	3.82E-2	4.18E-1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	2	0.0094	4.32E-2	4.46E-1


