Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	9	0.0143	5.29E-7	8.22E-4
REACTOME_VESICLE_MEDIATED_TRANSPORT	724	Vesicle-mediated transport	9	0.0124	1.69E-6	1.31E-3
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	4	0.0435	1.31E-5	6.79E-3
REACTOME_GLUCONEOGENESIS	34	Gluconeogenesis	3	0.0882	2.04E-5	7.92E-3
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	145	Clathrin-mediated endocytosis	4	0.0276	7.79E-5	2.07E-2
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	7	0.0104	8E-5	2.07E-2
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	4	0.0197	2.83E-4	5.85E-2
REACTOME_PROTEIN_METHYLATION	17	Protein methylation	2	0.1176	3.16E-4	5.85E-2
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1432	Post-translational protein modification	9	0.0063	3.42E-4	5.85E-2
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	90	RAB GEFs exchange GTP for GDP on RABs	3	0.0333	3.76E-4	5.85E-2
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	101	Cellular response to heat stress	3	0.0297	5.28E-4	6.38E-2
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	22	Chaperone Mediated Autophagy	2	0.0909	5.33E-4	6.38E-2
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE_	22	Citric acid cycle (TCA cycle)	2	0.0909	5.33E-4	6.38E-2
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	24	Cytosolic tRNA aminoacylation	2	0.0833	6.36E-4	7.06E-2
REACTOME_NEUTROPHIL_DEGRANULATION	479	Neutrophil degranulation	5	0.0104	8.83E-4	8.87E-2
REACTOME_RAB_REGULATION_OF_TRAFFICKING	122	Rab regulation of trafficking	3	0.0246	9.13E-4	8.87E-2
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	3	0.0238	1E-3	9.17E-2
REACTOME_METABOLISM_OF_CARBOHYDRATES	293	Metabolism of carbohydrates	4	0.0137	1.12E-3	9.66E-2
REACTOME_SIGNALING_BY_NTRKS	134	Signaling by NTRKs	3	0.0224	1.2E-3	9.79E-2
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	305	Asparagine N-linked glycosylation	4	0.0131	1.3E-3	1E-1
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	35	Lysosome Vesicle Biogenesis	2	0.0571	1.36E-3	1E-1
REACTOME_HIV_LIFE_CYCLE	149	HIV Life Cycle	3	0.0201	1.62E-3	1.11E-1
REACTOME_INNATE_IMMUNE_SYSTEM	1114	Innate Immune System	7	0.0063	1.64E-3	1.11E-1
REACTOME_TRNA_AMINOACYLATION	42	tRNA Aminoacylation	2	0.0476	1.95E-3	1.26E-1
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	6	0.0069	2.2E-3	1.37E-1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	4	0.0110	2.42E-3	1.4E-1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	884	Cytokine Signaling in Immune system	6	0.0068	2.44E-3	1.4E-1
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	5	0.0082	2.6E-3	1.44E-1
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	191	Separation of Sister Chromatids	3	0.0157	3.28E-3	1.66E-1
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	55	Amino acids regulate mTORC1	2	0.0364	3.32E-3	1.66E-1
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	55	Pyruvate metabolism and Citric Acid (TCA) cycle	2	0.0364	3.32E-3	1.66E-1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	56	Golgi Associated Vesicle Biogenesis	2	0.0357	3.44E-3	1.67E-1
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	59	tRNA processing in the nucleus	2	0.0339	3.81E-3	1.75E-1
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	60	rRNA modification in the nucleus and cytosol	2	0.0333	3.94E-3	1.75E-1
REACTOME_M_PHASE	417	M Phase	4	0.0096	4.01E-3	1.75E-1
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	61	Assembly of collagen fibrils and other multimeric structures	2	0.0328	4.06E-3	1.75E-1
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	70	Transcription of the HIV genome	2	0.0286	5.32E-3	2.18E-1
REACTOME_HIV_INFECTION	231	HIV Infection	3	0.0130	5.57E-3	2.18E-1
