Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
MODULE_324	133	Metal / Ca ion binding.	4	0.0301	2.23E-6	7.15E-4
MODULE_12	360	Spinal cord (neuro-development) genes.	5	0.0139	4.72E-6	7.15E-4
MODULE_17	364	Genes in the cancer module 17.	5	0.0137	4.98E-6	7.15E-4
MODULE_1	368	Ovary genes.	4	0.0109	1.2E-4	1.13E-2
MODULE_257	156	Genes in the cancer module 257.	3	0.0192	1.77E-4	1.13E-2
MODULE_6	413	Trachea genes.	4	0.0097	1.87E-4	1.13E-2
MODULE_60	422	Heart genes.	4	0.0095	2.03E-4	1.13E-2
MODULE_52	430	Cell line expressed genes.	4	0.0093	2.18E-4	1.13E-2
MODULE_18	450	Genes in the cancer module 18.	4	0.0089	2.6E-4	1.13E-2
MODULE_24	453	Fetal liver genes - metabolism and xenobiotics.	4	0.0088	2.66E-4	1.13E-2
MODULE_38	463	Placenta genes.	4	0.0086	2.89E-4	1.13E-2
MODULE_45	581	Whole blood genes.	4	0.0069	6.79E-4	2.44E-2
MODULE_72	308	Testis genes.	3	0.0097	1.28E-3	4.24E-2
MODULE_411	80	Genes in the cancer module 411.	2	0.0250	1.44E-3	4.27E-2
MODULE_212	329	Catalytic activities / metabolism.	3	0.0091	1.54E-3	4.27E-2
MODULE_341	84	Genes in the cancer module 341.	2	0.0238	1.58E-3	4.27E-2
MODULE_124	96	Transcription.	2	0.0208	2.06E-3	5.02E-2
MODULE_486	100	Genes in the cancer module 486.	2	0.0200	2.23E-3	5.02E-2
MODULE_2	384	DRG (dorsal root ganglia) genes.	3	0.0078	2.39E-3	5.02E-2
MODULE_3	384	Genes in the cancer module 3.	3	0.0078	2.39E-3	5.02E-2
MODULE_55	831	Genes in the cancer module 55.	4	0.0048	2.53E-3	5.02E-2
MODULE_88	834	Heart, liver, kidney and pancreas metabolic and xenobiotic response genes.	4	0.0048	2.56E-3	5.02E-2
MODULE_321	112	Genes in the cancer module 321.	2	0.0179	2.79E-3	5.1E-2
MODULE_118	408	cell line expressed genes.	3	0.0074	2.84E-3	5.1E-2
MODULE_397	121	Genes in the cancer module 397.	2	0.0165	3.25E-3	5.6E-2
MODULE_5	434	Lung genes.	3	0.0069	3.38E-3	5.6E-2
MODULE_16	508	Genes in the cancer module 15.	3	0.0059	5.24E-3	8.37E-2
MODULE_84	546	Immune (humoral) and inflammatory response.	3	0.0055	6.4E-3	9.85E-2
MODULE_105	200	Genes in the cancer module 105.	2	0.0100	8.6E-3	1.28E-1
MODULE_54	262	Cell cycle (expression cluster).	2	0.0076	1.44E-2	2.07E-1
MODULE_44	325	Thymus genes.	2	0.0062	2.16E-2	3E-1
MODULE_15	357	Genes in the cancer module 14.	2	0.0056	2.57E-2	3.46E-1
MODULE_98	393	Genes in the cancer module 98.	2	0.0051	3.07E-2	4E-1
MODULE_53	403	Cell line expressed genes.	2	0.0050	3.21E-2	4.07E-1
MODULE_8	421	Genes in the cancer module 8.	2	0.0048	3.48E-2	4.28E-1
MODULE_11	539	Genes in the cancer module 11.	2	0.0037	5.42E-2	6.23E-1
MODULE_100	543	Genes in the cancer module 100.	2	0.0037	5.5E-2	6.23E-1
MODULE_137	545	CNS genes.	2	0.0037	5.53E-2	6.23E-1
MODULE_66	551	Genes in the cancer module 66.	2	0.0036	5.64E-2	6.23E-1
MODULE_23	562	Liver genes - metabolism and xenobiotics.	2	0.0036	5.84E-2	6.29E-1


