Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_ABNORMALITY_OF_THE_CEREBROSPINAL_FLUID	465	Abnormality of the cerebrospinal fluid	5	0.0108	1.62E-5	7.3E-2
HP_PERIVENTRICULAR_LEUKOMALACIA	26	Periventricular leukomalacia	2	0.0769	1.51E-4	3.4E-1
HP_RELATIVE_MACROCEPHALY	33	Relative macrocephaly	2	0.0606	2.45E-4	3.67E-1
HP_CHRONIC_DIARRHEA	56	Chronic diarrhea	2	0.0357	7.08E-4	7.32E-1
HP_ABNORMALITY_OF_THE_PERIVENTRICULAR_WHITE_MATTER	77	Abnormality of the periventricular white matter	2	0.0260	1.33E-3	7.32E-1
HP_ABNORMALITY_OF_THE_CEREBRAL_VENTRICLES	703	Abnormality of the cerebral ventricles	4	0.0057	1.38E-3	7.32E-1
HP_APLASIA_HYPOPLASIA_OF_THE_CEREBRUM	1226	Aplasia/Hypoplasia of the cerebrum	5	0.0041	1.45E-3	7.32E-1
HP_HYDROCEPHALUS	326	Hydrocephalus	3	0.0092	1.5E-3	7.32E-1
HP_ABNORMALITY_OF_SKULL_SIZE	1266	Abnormality of skull size	5	0.0039	1.67E-3	7.32E-1
HP_SMALL_HAND	93	Small hand	2	0.0215	1.94E-3	7.32E-1
HP_ABNORMAL_PATTERN_OF_RESPIRATION	358	Abnormal pattern of respiration	3	0.0084	1.96E-3	7.32E-1
HP_INCREASED_CSF_LACTATE	96	Increased CSF lactate	2	0.0208	2.06E-3	7.32E-1
HP_INCREASED_HEAD_CIRCUMFERENCE	368	Increased head circumference	3	0.0082	2.12E-3	7.32E-1
HP_HYPOPLASIA_OF_THE_CORPUS_CALLOSUM	385	Hypoplasia of the corpus callosum	3	0.0078	2.41E-3	7.32E-1
HP_FAILURE_TO_THRIVE	843	Failure to thrive	4	0.0047	2.66E-3	7.32E-1
HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT	864	Abnormal conjugate eye movement	4	0.0046	2.91E-3	7.32E-1
HP_ABNORMAL_CSF_METABOLITE_LEVEL	115	Abnormal CSF metabolite level	2	0.0174	2.94E-3	7.32E-1
HP_SHORT_FOOT	117	Short foot	2	0.0171	3.04E-3	7.32E-1
HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX	879	Abnormality of the cerebral subcortex	4	0.0046	3.1E-3	7.32E-1
HP_ESODEVIATION	131	Esodeviation	2	0.0153	3.79E-3	8.52E-1
HP_ABNORMALITY_OF_THE_HALLUX	137	Abnormality of the hallux	2	0.0146	4.14E-3	8.77E-1
HP_ABNORMAL_CELLULAR_PHENOTYPE	480	Abnormal cellular phenotype	3	0.0063	4.48E-3	8.77E-1
HP_ASTHMA	143	Asthma	2	0.0140	4.5E-3	8.77E-1
HP_DECREASED_CIRCULATING_ANTIBODY_LEVEL	146	Decreased circulating antibody level	2	0.0137	4.68E-3	8.77E-1
HP_DELAYED_MYELINATION	154	Delayed myelination	2	0.0130	5.19E-3	9.14E-1
HP_NEUROLOGICAL_SPEECH_IMPAIRMENT	1022	Neurological speech impairment	4	0.0039	5.29E-3	9.14E-1
HP_NEONATAL_HYPOTONIA	159	Neonatal hypotonia	2	0.0126	5.53E-3	9.2E-1
HP_LEUKOENCEPHALOPATHY	166	Leukoencephalopathy	2	0.0120	6.01E-3	9.26E-1
HP_INCREASED_SERUM_LACTATE	172	Increased serum lactate	2	0.0116	6.43E-3	9.26E-1
HP_IMPAIRMENT_IN_PERSONALITY_FUNCTIONING	548	Impairment in personality functioning	3	0.0055	6.46E-3	9.26E-1
HP_NARROW_MOUTH	174	Narrow mouth	2	0.0115	6.58E-3	9.26E-1
HP_VENTRICULOMEGALY	552	Ventriculomegaly	3	0.0054	6.59E-3	9.26E-1
HP_HETEROTROPIA	179	Heterotropia	2	0.0112	6.95E-3	9.31E-1
HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS	1111	Abnormality of the abdominal organs	4	0.0036	7.08E-3	9.31E-1
HP_IMMUNOLOGIC_HYPERSENSITIVITY	183	Immunologic hypersensitivity	2	0.0109	7.25E-3	9.31E-1
HP_SHORT_STATURE	1152	Short stature	4	0.0035	8.03E-3	9.96E-1
HP_FUNCTIONAL_RESPIRATORY_ABNORMALITY	1159	Functional respiratory abnormality	4	0.0035	8.2E-3	9.96E-1


