Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
MODULE_32	241	Genes in the cancer module 32.	10	0.0415	1.42E-9	6.13E-7
MODULE_306	26	Glycolysis and TCA cycle.	4	0.1538	7.67E-7	1.65E-4
MODULE_52	430	Cell line expressed genes.	9	0.0209	3.1E-6	4.45E-4
MODULE_12	360	Spinal cord (neuro-development) genes.	8	0.0222	7.25E-6	6.24E-4
MODULE_1	368	Ovary genes.	8	0.0217	8.51E-6	6.24E-4
MODULE_110	16	Genes in the cancer module 110.	3	0.1875	1.1E-5	6.24E-4
MODULE_2	384	DRG (dorsal root ganglia) genes.	8	0.0208	1.16E-5	6.24E-4
MODULE_3	384	Genes in the cancer module 3.	8	0.0208	1.16E-5	6.24E-4
MODULE_244	187	Response to DNA damage.	6	0.0321	1.37E-5	6.54E-4
MODULE_277	55	Genes in the cancer module 277.	4	0.0727	1.65E-5	7.09E-4
MODULE_72	308	Testis genes.	7	0.0227	2.4E-5	9.39E-4
MODULE_83	320	Genes in the cancer module 83.	7	0.0219	3.06E-5	1.1E-3
MODULE_98	393	Genes in the cancer module 98.	7	0.0178	1.11E-4	3.67E-3
MODULE_43	99	Energy pathways.	4	0.0404	1.66E-4	5.1E-3
MODULE_198	303	Genes in the cancer module 198.	6	0.0198	1.97E-4	5.48E-3
MODULE_5	434	Lung genes.	7	0.0161	2.03E-4	5.48E-3
MODULE_87	44	Genes in the cancer module 87.	3	0.0682	2.46E-4	6.06E-3
MODULE_18	450	Genes in the cancer module 18.	7	0.0156	2.53E-4	6.06E-3
MODULE_212	329	Catalytic activities / metabolism.	6	0.0182	3.06E-4	6.95E-3
MODULE_324	133	Metal / Ca ion binding.	4	0.0301	5.1E-4	1.07E-2
MODULE_16	508	Genes in the cancer module 15.	7	0.0138	5.23E-4	1.07E-2
MODULE_133	15	Genes in the cancer module 133.	2	0.1333	7.66E-4	1.34E-2
MODULE_150	15	Ttranslation elongation.	2	0.1333	7.66E-4	1.34E-2
MODULE_160	15	tRNA synthesis.	2	0.1333	7.66E-4	1.34E-2
MODULE_183	65	RNA splicing.	3	0.0462	7.77E-4	1.34E-2
MODULE_35	16	Genes in the cancer module 35.	2	0.1250	8.74E-4	1.45E-2
MODULE_6	413	Trachea genes.	6	0.0145	1.01E-3	1.6E-2
MODULE_60	422	Heart genes.	6	0.0142	1.12E-3	1.73E-2
MODULE_159	81	Translation regulation.	3	0.0370	1.47E-3	2.18E-2
MODULE_439	21	Genes in the cancer module 439.	2	0.0952	1.52E-3	2.18E-2
MODULE_38	463	Placenta genes.	6	0.0130	1.8E-3	2.5E-2
MODULE_105	200	Genes in the cancer module 105.	4	0.0200	2.3E-3	3.1E-2
MODULE_124	96	Transcription.	3	0.0312	2.39E-3	3.12E-2
MODULE_303	28	Genes in the cancer module 303.	2	0.0714	2.69E-3	3.42E-2
MODULE_184	29	Genes in the cancer module 184.	2	0.0690	2.89E-3	3.56E-2
MODULE_221	30	Fatty acid metabolism.	2	0.0667	3.09E-3	3.7E-2
MODULE_229	31	Genes in the cancer module 229.	2	0.0645	3.3E-3	3.84E-2
MODULE_17	364	Genes in the cancer module 17.	5	0.0137	3.38E-3	3.84E-2
MODULE_321	112	Genes in the cancer module 321.	3	0.0268	3.69E-3	4.08E-2
MODULE_84	546	Immune (humoral) and inflammatory response.	6	0.0110	4.04E-3	4.36E-2
MODULE_252	237	TFs and nuclear.	4	0.0169	4.22E-3	4.44E-2
MODULE_397	121	Genes in the cancer module 397.	3	0.0248	4.58E-3	4.7E-2
MODULE_152	124	Oxidative phosphorylation and ATP synthesis.	3	0.0242	4.91E-3	4.92E-2
