Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_CLINICAL_COURSE	1394	Clinical course	21	0.0151	1.99E-10	8.94E-7
HP_ABNORMALITY_OF_SKULL_SIZE	1266	Abnormality of skull size	18	0.0142	1.12E-8	2.48E-5
HP_HYPERTONIA	870	Hypertonia	15	0.0172	1.73E-8	2.48E-5
HP_DECREASED_HEAD_CIRCUMFERENCE	1025	Decreased head circumference	16	0.0156	2.21E-8	2.48E-5
HP_GAIT_DISTURBANCE	926	Gait disturbance	15	0.0162	3.91E-8	2.55E-5
HP_GENERALIZED_HYPOTONIA	929	Generalized hypotonia	15	0.0161	4.08E-8	2.55E-5
HP_APLASIA_HYPOPLASIA_OF_THE_CEREBRUM	1226	Aplasia/Hypoplasia of the cerebrum	17	0.0139	4.28E-8	2.55E-5
HP_FEEDING_DIFFICULTIES	801	Feeding difficulties	14	0.0175	4.55E-8	2.55E-5
HP_HYPOPLASIA_OF_THE_PONS	37	Hypoplasia of the pons	5	0.1351	5.78E-8	2.68E-5
HP_UPPER_MOTOR_NEURON_DYSFUNCTION	1102	Upper motor neuron dysfunction	16	0.0145	5.97E-8	2.68E-5
HP_SPASTICITY	728	Spasticity	13	0.0179	1.11E-7	4.43E-5
HP_FUNCTIONAL_RESPIRATORY_ABNORMALITY	1159	Functional respiratory abnormality	16	0.0138	1.18E-7	4.43E-5
HP_ABNORMALITY_OF_THE_PONS	50	Abnormality of the pons	5	0.1000	2.73E-7	9.44E-5
HP_ABNORMALITY_OF_CONNECTIVE_TISSUE	1252	Abnormality of connective tissue	16	0.0128	3.33E-7	1.07E-4
HP_ABNORMALITY_OF_UPPER_LIP	683	Abnormality of upper lip	12	0.0176	4.2E-7	1.22E-4
HP_HIGH_PALATE	559	High palate	11	0.0197	4.34E-7	1.22E-4
HP_ABNORMAL_MYELINATION	456	Abnormal myelination	10	0.0219	5.62E-7	1.41E-4
HP_HYPERLORDOSIS	174	Hyperlordosis	7	0.0402	5.63E-7	1.41E-4
HP_ONSET	1002	Onset	14	0.0140	6.78E-7	1.56E-4
HP_ABNORMALITY_OF_THE_UPPER_URINARY_TRACT	1161	Abnormality of the upper urinary tract	15	0.0129	7.01E-7	1.56E-4
HP_ABNORMALITY_OF_JOINT_MOBILITY	1008	Abnormality of joint mobility	14	0.0139	7.28E-7	1.56E-4
HP_NEUROLOGICAL_SPEECH_IMPAIRMENT	1022	Neurological speech impairment	14	0.0137	8.56E-7	1.71E-4
HP_ABNORMAL_EYELID_MORPHOLOGY	1024	Abnormal eyelid morphology	14	0.0137	8.76E-7	1.71E-4
