Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_RNA_BINDING	1975	Interacting selectively and non-covalently with an RNA molecule or a portion thereof. [GOC:jl, GOC:mah]	14	0.0071	4.97E-7	8.43E-4
GO_PROTEIN_CONTAINING_COMPLEX_BINDING	1258	Interacting selectively and non-covalently with a macromolecular complex. [GOC:jl]	11	0.0087	1.37E-6	1.16E-3
GO_ENZYME_REGULATOR_ACTIVITY	1059	Binds to and modulates the activity of an enzyme. [GOC:dph, GOC:mah, GOC:tb]	10	0.0094	2.23E-6	1.26E-3
GO_PROTEIN_C_TERMINUS_BINDING	189	Interacting selectively and non-covalently with a protein C-terminus, the end of any peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue. [ISBN:0198506732]	5	0.0265	7.6E-6	3.22E-3
GO_ENZYME_ACTIVATOR_ACTIVITY	526	Binds to and increases the activity of an enzyme. [GOC:dph, GOC:mah, GOC:tb]	7	0.0133	9.67E-6	3.28E-3
GO_ADENYL_NUCLEOTIDE_BINDING	1546	Interacting selectively and non-covalently with adenyl nucleotides, any compound consisting of adenosine esterified with (ortho)phosphate. [ISBN:0198506732]	10	0.0065	5.86E-5	1.38E-2
GO_RIBONUCLEOTIDE_BINDING	1899	Interacting selectively and non-covalently with a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety. [GOC:mah]	11	0.0058	6.47E-5	1.38E-2
GO_CYTOSKELETAL_PROTEIN_BINDING	979	Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton). [GOC:mah]	8	0.0082	7.07E-5	1.38E-2
GO_IDENTICAL_PROTEIN_BINDING	1926	Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]	11	0.0057	7.34E-5	1.38E-2
GO_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY	14	Catalysis of the exonucleolytic cleavage of poly(A) to 5'-AMP. [EC:3.1.13.4, ISBN:0198547684]	2	0.1429	1.79E-4	3.04E-2
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	18	Any cadherin binding that occurs as part of the process of cell-cell adhesion. [GOC:dos]	2	0.1111	3E-4	4.62E-2
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	114	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile. [GOC:mah, http://merops.sanger.ac.uk/about/glossary.htmCATTYPE, http://merops.sanger.ac.uk/about/glossary.htmENDOPEPTIDASE]	3	0.0263	5.87E-4	8.3E-2
GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY	139	Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile. [GOC:mah, http://merops.sanger.ac.uk/about/glossary.htmCATTYPE]	3	0.0216	1.04E-3	1.23E-1
GO_CELL_ADHESION_MOLECULE_BINDING	544	Interacting selectively and non-covalently with a cell adhesion molecule. [GOC:ai]	5	0.0092	1.06E-3	1.23E-1
GO_GTPASE_BINDING	547	Interacting selectively and non-covalently with a GTPase, any enzyme that catalyzes the hydrolysis of GTP. [GOC:ai]	5	0.0091	1.09E-3	1.23E-1
GO_CADHERIN_BINDING	332	Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion. [GOC:bf]	4	0.0120	1.29E-3	1.27E-1
GO_EXORIBONUCLEASE_ACTIVITY	40	Catalysis of the sequential cleavage of mononucleotides from a free 5' or 3' terminus of an RNA molecule. [GOC:mah, ISBN:0198547684]	2	0.0500	1.5E-3	1.27E-1
