Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	191	Separation of Sister Chromatids	6	0.0314	3.21E-7	4.99E-4
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	236	Mitotic Metaphase and Anaphase	6	0.0254	1.11E-6	6.58E-4
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	8	0.0143	1.27E-6	6.58E-4
REACTOME_M_PHASE	417	M Phase	7	0.0168	2.12E-6	8.25E-4
REACTOME_CELL_CYCLE	693	Cell Cycle	8	0.0115	6.02E-6	1.87E-3
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	5	0.0246	1.07E-5	2.67E-3
REACTOME_DISEASE	1580	Disease	11	0.0070	1.2E-5	2.67E-3
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	8	0.0092	2.99E-5	5.59E-3
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	4	0.0317	3.24E-5	5.59E-3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	5	0.0138	1.67E-4	2.59E-2
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	3	0.0326	3.13E-4	4.33E-2
REACTOME_HIV_INFECTION	231	HIV Infection	4	0.0173	3.34E-4	4.33E-2
REACTOME_SIGNALING_BY_INTERLEUKINS	462	Signaling by Interleukins	5	0.0108	5.1E-4	6.03E-2
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	111	Mitotic Spindle Checkpoint	3	0.0270	5.43E-4	6.03E-2
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	25	Cyclin A/B1/B2 associated events during G2/M transition	2	0.0800	5.84E-4	6.05E-2
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1373	RNA Polymerase II Transcription	8	0.0058	6.92E-4	6.72E-2
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	504	Signaling by Receptor Tyrosine Kinases	5	0.0099	7.54E-4	6.89E-2
REACTOME_CELL_CYCLE_CHECKPOINTS	292	Cell Cycle Checkpoints	4	0.0137	8.05E-4	6.95E-2
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	304	Intracellular signaling by second messengers	4	0.0132	9.35E-4	7.65E-2
REACTOME_PTEN_REGULATION	139	PTEN Regulation	3	0.0216	1.04E-3	7.65E-2
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	140	RHO GTPases Activate Formins	3	0.0214	1.06E-3	7.65E-2
REACTOME_GLUCONEOGENESIS	34	Gluconeogenesis	2	0.0588	1.08E-3	7.65E-2
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	145	Clathrin-mediated endocytosis	3	0.0207	1.18E-3	7.95E-2
REACTOME_HIV_LIFE_CYCLE	149	HIV Life Cycle	3	0.0201	1.27E-3	7.97E-2
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	37	Regulation of TP53 Expression and Degradation	2	0.0541	1.28E-3	7.97E-2
REACTOME_REGULATION_OF_TP53_ACTIVITY	160	Regulation of TP53 Activity	3	0.0187	1.56E-3	8.84E-2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	884	Cytokine Signaling in Immune system	6	0.0068	1.58E-3	8.84E-2
REACTOME_S_PHASE	162	S Phase	3	0.0185	1.62E-3	8.84E-2
REACTOME_TRNA_AMINOACYLATION	42	tRNA Aminoacylation	2	0.0476	1.65E-3	8.84E-2
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	374	Metabolism of amino acids and derivatives	4	0.0107	2E-3	1.03E-1
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	5	0.0074	2.67E-3	1.34E-1
REACTOME_MITOTIC_G2_G2_M_PHASES	200	Mitotic G2-G2/M phases	3	0.0150	2.94E-3	1.43E-1
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION_	61	Nuclear Events (kinase and transcription factor activation)	2	0.0328	3.45E-3	1.62E-1
REACTOME_DUAL_INCISION_IN_TC_NER	65	Dual incision in TC-NER	2	0.0308	3.9E-3	1.78E-1
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	4	0.0088	4E-3	1.78E-1
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	69	Regulation of PTEN stability and activity	2	0.0290	4.39E-3	1.89E-1
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	70	Transcription of the HIV genome	2	0.0286	4.51E-3	1.9E-1
REACTOME_INTERLEUKIN_17_SIGNALING	71	Interleukin-17 signaling	2	0.0282	4.64E-3	1.9E-1
REACTOME_GLYCOLYSIS	72	Glycolysis	2	0.0278	4.77E-3	1.9E-1
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	73	Regulation of RUNX2 expression and activity	2	0.0274	4.9E-3	1.9E-1
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	74	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	2	0.0270	5.03E-3	1.91E-1
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	76	Nuclear Envelope (NE) Reassembly	2	0.0263	5.3E-3	1.96E-1
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER_	78	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	2	0.0256	5.57E-3	1.97E-1
REACTOME_SIGNALING_BY_MET	79	Signaling by MET	2	0.0253	5.71E-3	1.97E-1
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	79	The role of GTSE1 in G2/M progression after G2 checkpoint	2	0.0253	5.71E-3	1.97E-1
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	81	RNA polymerase II transcribes snRNA genes	2	0.0247	5.99E-3	2.02E-1
REACTOME_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE	84	Toll Like Receptor 10 (TLR10) Cascade	2	0.0238	6.43E-3	2.13E-1
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	85	Degradation of beta-catenin by the destruction complex	2	0.0235	6.58E-3	2.13E-1
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	88	APC/C-mediated degradation of cell cycle proteins	2	0.0227	7.04E-3	2.23E-1
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	95	Toll Like Receptor 9 (TLR9) Cascade	2	0.0211	8.15E-3	2.44E-1
REACTOME_FLT3_SIGNALING	292	FLT3 Signaling	3	0.0103	8.38E-3	2.44E-1
REACTOME_METABOLISM_OF_CARBOHYDRATES	293	Metabolism of carbohydrates	3	0.0102	8.46E-3	2.44E-1
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE_	97	MyD88-independent TLR4 cascade	2	0.0206	8.49E-3	2.44E-1
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	97	Toll Like Receptor TLR1:TLR2 Cascade	2	0.0206	8.49E-3	2.44E-1
REACTOME_TRANSLATION	295	Translation	3	0.0102	8.62E-3	2.44E-1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	Extracellular matrix organization	3	0.0100	9.1E-3	2.51E-1
REACTOME_INTERLEUKIN_1_SIGNALING	102	Interleukin-1 signaling	2	0.0196	9.35E-3	2.51E-1
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	580	Nervous system development	4	0.0069	9.37E-3	2.51E-1
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	308	Antigen processing: Ubiquitination & Proteasome degradation	3	0.0097	9.69E-3	2.55E-1
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	105	Cargo recognition for clathrin-mediated endocytosis	2	0.0190	9.88E-3	2.56E-1
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	110	Nucleotide Excision Repair	2	0.0182	1.08E-2	2.72E-1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	111	Interleukin-4 and Interleukin-13 signaling	2	0.0180	1.1E-2	2.72E-1
REACTOME_RHO_GTPASE_EFFECTORS	324	RHO GTPase Effectors	3	0.0093	1.11E-2	2.72E-1
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	4	0.0065	1.13E-2	2.72E-1
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	327	MAPK family signaling cascades	3	0.0092	1.14E-2	2.72E-1
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	116	Nonsense-Mediated Decay (NMD)	2	0.0172	1.2E-2	2.81E-1
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	4	0.0064	1.23E-2	2.82E-1
REACTOME_SELENOAMINO_ACID_METABOLISM	118	Selenoamino acid metabolism	2	0.0169	1.23E-2	2.82E-1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	120	Transcriptional regulation by RUNX2	2	0.0167	1.27E-2	2.87E-1
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	127	Toll Like Receptor 4 (TLR4) Cascade	2	0.0157	1.42E-2	3.15E-1
REACTOME_DNA_REPLICATION	128	DNA Replication	2	0.0156	1.44E-2	3.15E-1
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	131	Host Interactions of HIV factors	2	0.0153	1.51E-2	3.25E-1
REACTOME_SIGNALING_BY_NTRKS	134	Signaling by NTRKs	2	0.0149	1.57E-2	3.28E-1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	370	Class I MHC mediated antigen processing & presentation	3	0.0081	1.58E-2	3.28E-1
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1432	Post-translational protein modification	6	0.0042	1.59E-2	3.28E-1
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	139	Interleukin-1 family signaling	2	0.0144	1.68E-2	3.44E-1
