Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_GAIT_DISTURBANCE	926	Gait disturbance	15	0.0162	1.69E-9	7.6E-6
HP_SCAPULAR_WINGING	72	Scapular winging	6	0.0833	1.31E-8	2.95E-5
HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	981	Abnormality of the curvature of the vertebral column	14	0.0143	3.04E-8	4.55E-5
HP_SKELETAL_MUSCLE_ATROPHY	463	Skeletal muscle atrophy	10	0.0216	7.78E-8	8.27E-5
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	167	Abnormality of the musculature of the upper limbs	7	0.0419	9.2E-8	8.27E-5
HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE	110	Abnormality of the shoulder girdle musculature	6	0.0545	1.68E-7	1.18E-4
HP_FUNCTIONAL_ABNORMALITY_OF_THE_GASTROINTESTINAL_TRACT	803	Functional abnormality of the gastrointestinal tract	12	0.0149	1.97E-7	1.18E-4
HP_ABNORMALITY_OF_GLOBE_LOCATION	808	Abnormality of globe location	12	0.0149	2.11E-7	1.18E-4
HP_ABNORMALITY_OF_THE_SCAPULA	118	Abnormality of the scapula	6	0.0508	2.55E-7	1.27E-4
HP_ABNORMALITY_OF_THE_INNER_EAR	872	Abnormality of the inner ear	12	0.0138	4.73E-7	2.12E-4
HP_ABNORMALITY_OF_MUSCLE_SIZE	586	Abnormality of muscle size	10	0.0171	6.73E-7	2.72E-4
HP_ABNORMALITY_OF_IMMUNE_SYSTEM_PHYSIOLOGY	1275	Abnormality of immune system physiology	14	0.0110	7.27E-7	2.72E-4
HP_SHORT_STATURE	1152	Short stature	13	0.0113	1.4E-6	4.83E-4
HP_ABNORMAL_5TH_FINGER_MORPHOLOGY	370	Abnormal 5th finger morphology	8	0.0216	1.66E-6	5.06E-4
HP_ABNORMALITY_OF_BLOOD_AND_BLOOD_FORMING_TISSUES	1172	Abnormality of blood and blood-forming tissues	13	0.0111	1.69E-6	5.06E-4
HP_APLASIA_HYPOPLASIA_INVOLVING_THE_NOSE	93	Aplasia/Hypoplasia involving the nose	5	0.0538	2.03E-6	5.33E-4
HP_CLINICAL_COURSE	1394	Clinical course	14	0.0100	2.07E-6	5.33E-4
HP_ABNORMALITY_OF_JOINT_MOBILITY	1008	Abnormality of joint mobility	12	0.0119	2.14E-6	5.33E-4
HP_DEVIATION_OF_THE_HAND_OR_OF_FINGERS_OF_THE_HAND	386	Deviation of the hand or of fingers of the hand	8	0.0207	2.27E-6	5.36E-4
HP_HYPERLORDOSIS	174	Hyperlordosis	6	0.0345	2.48E-6	5.57E-4
HP_ABNORMAL_NASAL_MORPHOLOGY	851	Abnormal nasal morphology	11	0.0129	2.69E-6	5.76E-4
HP_UNERUPTED_TOOTH	13	Unerupted tooth	3	0.2308	2.88E-6	5.88E-4
HP_ABNORMALITY_OF_ESOPHAGUS_PHYSIOLOGY	552	Abnormality of esophagus physiology	9	0.0163	3.64E-6	7.12E-4
HP_AORTIC_ANEURYSM	108	Aortic aneurysm	5	0.0463	4.25E-6	7.21E-4
HP_FINGER_CLINODACTYLY	299	Finger clinodactyly	7	0.0234	4.55E-6	7.21E-4
HP_MYOPATHY	299	Myopathy	7	0.0234	4.55E-6	7.21E-4
HP_ABNORMAL_FACIAL_SHAPE	901	Abnormal facial shape	11	0.0122	4.63E-6	7.21E-4
HP_ABNORMAL_HOMEOSTASIS	1286	Abnormal homeostasis	13	0.0101	4.64E-6	7.21E-4
HP_ABNORMALITY_OF_TOE	569	Abnormality of toe	9	0.0158	4.65E-6	7.21E-4
HP_INVOLUNTARY_MOVEMENTS	905	Involuntary movements	11	0.0122	4.83E-6	7.23E-4
HP_CLINODACTYLY	432	Clinodactyly	8	0.0185	5.18E-6	7.51E-4
HP_ABNORMAL_CARDIOVASCULAR_SYSTEM_PHYSIOLOGY	1112	Abnormal cardiovascular system physiology	12	0.0108	5.81E-6	8.16E-4
HP_HYPERTELORISM	597	Hypertelorism	9	0.0151	6.84E-6	9.32E-4
HP_ABNORMALITY_OF_THE_ENDOCRINE_SYSTEM	1140	Abnormality of the endocrine system	12	0.0105	7.46E-6	9.86E-4
