Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_TIGHT_JUNCTION	132	Tight junction	4	0.0303	2.12E-4	3.28E-2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	3	0.0484	3.52E-4	3.28E-2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	4	0.0188	1.28E-3	7.49E-2
KEGG_THYROID_CANCER	29	Thyroid cancer	2	0.0690	1.86E-3	7.49E-2
KEGG_OOCYTE_MEIOSIS	113	Oocyte meiosis	3	0.0265	2.01E-3	7.49E-2
KEGG_PATHWAYS_IN_CANCER	325	Pathways in cancer	4	0.0123	5.81E-3	1.8E-1
KEGG_FOCAL_ADHESION	199	Focal adhesion	3	0.0151	9.72E-3	2.43E-1
KEGG_VIRAL_MYOCARDITIS	70	Viral myocarditis	2	0.0286	1.05E-2	2.43E-1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	Hypertrophic cardiomyopathy (HCM)	2	0.0241	1.45E-2	2.85E-1
KEGG_RIBOSOME	88	Ribosome	2	0.0227	1.62E-2	2.85E-1
KEGG_DILATED_CARDIOMYOPATHY	90	Dilated cardiomyopathy	2	0.0222	1.69E-2	2.85E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	3	0.0112	2.12E-2	3.28E-1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	Ubiquitin mediated proteolysis	2	0.0148	3.57E-2	4.87E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	2	0.0146	3.67E-2	4.87E-1


