Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	15	0.0223	2.05E-11	3.19E-8
REACTOME_RHO_GTPASE_EFFECTORS	324	RHO GTPase Effectors	9	0.0278	4.31E-8	3.35E-5
REACTOME_CELL_CYCLE	693	Cell Cycle	11	0.0159	3.66E-7	1.41E-4
REACTOME_RRNA_PROCESSING	205	rRNA processing	7	0.0341	3.7E-7	1.41E-4
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	10	0.0178	4.53E-7	1.41E-4
REACTOME_GLYCOLYSIS	72	Glycolysis	5	0.0694	5.67E-7	1.47E-4
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	9	0.0198	7.36E-7	1.63E-4
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	5	0.0543	1.93E-6	3.74E-4
REACTOME_M_PHASE	417	M Phase	8	0.0192	4E-6	6.91E-4
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN	53	Nuclear Envelope Breakdown	4	0.0755	5.86E-6	9.1E-4
REACTOME_DISEASE	1580	Disease	14	0.0089	8.68E-6	1.16E-3
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	60	rRNA modification in the nucleus and cytosol	4	0.0667	9.64E-6	1.16E-3
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	19	Initiation of Nuclear Envelope (NE) Reformation	3	0.1579	9.67E-6	1.16E-3
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	21	RHO GTPases activate PAKs	3	0.1429	1.32E-5	1.47E-3
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	236	Mitotic Metaphase and Anaphase	6	0.0254	1.42E-5	1.47E-3
REACTOME_MITOTIC_PROPHASE	143	Mitotic Prophase	5	0.0350	1.67E-5	1.62E-3
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	76	Nuclear Envelope (NE) Reassembly	4	0.0526	2.47E-5	2.26E-3
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	Antiviral mechanism by IFN-stimulated genes	4	0.0488	3.33E-5	2.88E-3
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	84	Transport of Mature Transcript to Cytoplasm	4	0.0476	3.66E-5	2.97E-3
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	170	Factors involved in megakaryocyte development and platelet production	5	0.0294	3.82E-5	2.97E-3
