Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_INTRACELLULAR_TRANSPORT	1758	The directed movement of substances within a cell. [GOC:ai]	49	0.0279	3.85E-27	2.92E-23
GO_CELLULAR_AMIDE_METABOLIC_PROCESS	1192	The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells. [GOC:curators]	40	0.0336	5.86E-25	2.22E-21
GO_CELLULAR_MACROMOLECULE_LOCALIZATION	1989	Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell. [GOC:mah]	47	0.0236	5.71E-23	1.44E-19
GO_PEPTIDE_METABOLIC_PROCESS	907	The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. [GOC:go_curators]	34	0.0375	1.01E-22	1.91E-19
GO_AMIDE_BIOSYNTHETIC_PROCESS	904	The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group. [GOC:curators]	33	0.0365	1.05E-21	1.58E-18
GO_PEPTIDE_BIOSYNTHETIC_PROCESS	761	The chemical reactions and pathways resulting in the formation of peptides, compounds of 2 or more (but usually less than 100) amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. This may include the translation of a precursor protein and its subsequent processing into a functional peptide. [GOC:dph, GOC:jl]	30	0.0394	1.06E-20	1.33E-17
GO_INTRACELLULAR_PROTEIN_TRANSPORT	1179	The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell. [GOC:mah]	35	0.0297	3.97E-20	4.29E-17
GO_CYTOSKELETON_ORGANIZATION	1396	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures. [GOC:dph, GOC:jl, GOC:mah]	37	0.0265	1.23E-19	1.17E-16
GO_SYMBIOTIC_PROCESS	980	A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts. [GOC:cc, https://study.com/academy/lesson/symbiont-definition-lesson-quiz.html]	31	0.0316	1.22E-18	1.02E-15
GO_CELL_CYCLE	1881	The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division. [GOC:go_curators, GOC:mtg_cell_cycle]	40	0.0213	7.02E-18	5.31E-15
GO_MITOTIC_CELL_CYCLE	1053	Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent. [GOC:mah, ISBN:0815316194, Reactome:69278]	31	0.0294	9.14E-18	6.29E-15
GO_PROTEIN_LOCALIZATION_TO_ORGANELLE	979	A process in which a protein is transported to, or maintained in, a location within an organelle. [GOC:mah]	30	0.0306	1.11E-17	7.01E-15
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	582	The directed movement of a protein to a specific location on or in an organelle. Encompasses establishment of localization in the membrane or lumen of a membrane-bounded organelle. [GOC:mah]	24	0.0412	3.85E-17	2.24E-14
GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1827	The chemical reactions and pathways resulting in the formation of organonitrogen compound. [GOC:pr, GOC:TermGenie]	38	0.0208	1.13E-16	6.13E-14
GO_CELL_CYCLE_PROCESS	1422	The cellular process that ensures successive accurate and complete genome replication and chromosome segregation. [GOC:isa_complete, GOC:mtg_cell_cycle]	33	0.0232	7.27E-16	3.67E-13
GO_MRNA_METABOLIC_PROCESS	887	The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes. [ISBN:0198506732]	26	0.0293	5.8E-15	2.75E-12
GO_PROTEIN_CONTAINING_COMPLEX_SUBUNIT_ORGANIZATION	1978	Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein complex. [GOC:mah]	37	0.0187	8.47E-15	3.77E-12
GO_MACROMOLECULE_CATABOLIC_PROCESS	1431	The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass. [GOC:mah]	31	0.0217	3.9E-14	1.64E-11
GO_RNA_LOCALIZATION	235	A process in which RNA is transported to, or maintained in, a specific location. [GOC:ai]	15	0.0638	7.76E-14	3.09E-11
GO_VIRAL_GENE_EXPRESSION	195	A process by which a viral gene is converted into a mature gene product or products (proteins or RNA). This includes viral transcription, processing to produce a mature RNA product, and viral translation. [GOC:bf, GOC:jl, ISBN:0121585336]	14	0.0718	1.08E-13	3.93E-11
GO_CELL_DIVISION	603	The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells. [GOC:di, GOC:go_curators, GOC:pr]	21	0.0348	1.09E-13	3.93E-11
GO_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	1201	The chemical reactions and pathways resulting in the breakdown of a macromolecule, any large molecule including proteins, nucleic acids and carbohydrates, as carried out by individual cells. [GOC:jl]	28	0.0233	1.34E-13	4.61E-11
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	1310	Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle. [GOC:mah]	29	0.0221	1.69E-13	5.57E-11
GO_NCRNA_METABOLIC_PROCESS	493	The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs). [GOC:mah]	19	0.0385	2.95E-13	9.31E-11
GO_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	653	The chemical reactions and pathways resulting in the breakdown of organic cyclic compound. [GOC:TermGenie]	21	0.0322	5.01E-13	1.52E-10
GO_CYTOPLASMIC_TRANSLATION	103	The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein. [GOC:hjd]	11	0.1068	6.33E-13	1.84E-10
GO_DNA_METABOLIC_PROCESS	943	Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides. [ISBN:0198506732]	24	0.0255	1.43E-12	4E-10
GO_TRANSLATIONAL_INITIATION	192	The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]	13	0.0677	1.77E-12	4.79E-10
GO_RNA_CATABOLIC_PROCESS	415	The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. [ISBN:0198506732]	17	0.0410	2.13E-12	5.57E-10
GO_CELLULAR_NITROGEN_COMPOUND_CATABOLIC_PROCESS	603	The chemical reactions and pathways resulting in the breakdown of organic and inorganic nitrogenous compounds. [GOC:jl, ISBN:0198506732]	19	0.0315	9.82E-12	2.44E-9
GO_MICROTUBULE_BASED_PROCESS	852	Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins. [GOC:mah]	22	0.0258	1E-11	2.44E-9
GO_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	638	Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle. [GOC:dph, GOC:tb]	19	0.0298	2.58E-11	6.1E-9
GO_REGULATION_OF_PROTEIN_LOCALIZATION	994	Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location. [GOC:dph, GOC:mah, GOC:tb]	23	0.0231	2.91E-11	6.68E-9
GO_PROTEIN_TARGETING	441	The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif. [GOC:ma]	16	0.0363	5.9E-11	1.3E-8
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	591	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins. [GOC:mah]	18	0.0305	6.17E-11	1.3E-8
GO_MEMBRANE_ORGANIZATION	937	A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins. [GOC:dph, GOC:tb]	22	0.0235	6.17E-11	1.3E-8
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	120	The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins. [GOC:krc, GOC:ma, PMID:10025395]	10	0.0833	8.88E-11	1.82E-8
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	210	The chemical reactions and pathways resulting in the breakdown of nuclear-transcribed mRNAs in eukaryotic cells. [GOC:krc]	12	0.0571	9.39E-11	1.87E-8
GO_PROTEIN_LOCALIZATION_TO_NUCLEUS	277	A process in which a protein transports or maintains the localization of another protein to the nucleus. [GOC:ecd]	13	0.0469	1.75E-10	3.39E-8
