Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
MODULE_3	384	Genes in the cancer module 3.	18	0.0469	4.73E-14	2.04E-11
MODULE_151	318	Genes in the cancer module 151.	14	0.0440	7.88E-11	1.7E-8
MODULE_114	338	Protein biosynthesis and ribosomes.	14	0.0414	1.75E-10	2.52E-8
MODULE_83	320	Genes in the cancer module 83.	13	0.0406	1.02E-9	1.1E-7
MODULE_419	34	Genes in the cancer module 419.	6	0.1765	5.64E-9	4.42E-7
MODULE_32	241	Genes in the cancer module 32.	11	0.0456	6.16E-9	4.42E-7
MODULE_18	450	Genes in the cancer module 18.	13	0.0289	5.79E-8	3.57E-6
MODULE_524	30	Actin cytoskeleton binding.	5	0.1667	1.51E-7	8.11E-6
MODULE_321	112	Genes in the cancer module 321.	7	0.0625	4.64E-7	2.22E-5
MODULE_98	393	Genes in the cancer module 98.	11	0.0280	8.52E-7	3.67E-5
MODULE_244	187	Response to DNA damage.	8	0.0428	1.24E-6	4.88E-5
MODULE_8	421	Genes in the cancer module 8.	11	0.0261	1.66E-6	5.96E-5
MODULE_17	364	Genes in the cancer module 17.	10	0.0275	3.21E-6	1.06E-4
MODULE_306	26	Glycolysis and TCA cycle.	4	0.1538	3.95E-6	1.22E-4
MODULE_29	28	Genes in the cancer module 29.	4	0.1429	5.38E-6	1.55E-4
MODULE_331	75	Genes in the cancer module 331.	5	0.0667	1.57E-5	4.22E-4
MODULE_133	15	Genes in the cancer module 133.	3	0.2000	3.06E-5	7.76E-4
MODULE_110	16	Genes in the cancer module 110.	3	0.1875	3.76E-5	8.52E-4
MODULE_35	16	Genes in the cancer module 35.	3	0.1875	3.76E-5	8.52E-4
MODULE_198	303	Genes in the cancer module 198.	8	0.0264	4.18E-5	8.91E-4
MODULE_352	17	Nuclear pore complex.	3	0.1765	4.55E-5	8.91E-4
MODULE_543	17	Annexin, MHCII, and lectins.	3	0.1765	4.55E-5	8.91E-4
MODULE_252	237	TFs and nuclear.	7	0.0295	6.33E-5	1.19E-3
MODULE_54	262	Cell cycle (expression cluster).	7	0.0267	1.18E-4	2.09E-3
MODULE_126	183	Lymphoma and immune response expression clusters.	6	0.0328	1.21E-4	2.09E-3
MODULE_15	357	Genes in the cancer module 14.	8	0.0224	1.31E-4	2.16E-3
MODULE_159	81	Translation regulation.	4	0.0494	3.69E-4	5.88E-3
MODULE_52	430	Cell line expressed genes.	8	0.0186	4.55E-4	7E-3
MODULE_5	434	Lung genes.	8	0.0184	4.83E-4	7.18E-3
MODULE_97	98	Genes in the cancer module 97.	4	0.0408	7.58E-4	1.06E-2
MODULE_43	99	Energy pathways.	4	0.0404	7.87E-4	1.06E-2
MODULE_179	468	Blood cells and cancer expression cancer.	8	0.0171	7.89E-4	1.06E-2
MODULE_182	100	Genes in the cancer module 182.	4	0.0400	8.17E-4	1.07E-2
MODULE_1	368	Ovary genes.	7	0.0190	9.07E-4	1.15E-2
MODULE_2	384	DRG (dorsal root ganglia) genes.	7	0.0182	1.16E-3	1.42E-2
MODULE_61	50	Genes in the cancer module 61.	3	0.0600	1.19E-3	1.42E-2
MODULE_16	508	Genes in the cancer module 15.	8	0.0157	1.33E-3	1.55E-2
MODULE_277	55	Genes in the cancer module 277.	3	0.0545	1.56E-3	1.77E-2
MODULE_532	407	Blood cells and cancer expression clusters.	7	0.0172	1.61E-3	1.78E-2
MODULE_160	15	tRNA synthesis.	2	0.1333	1.73E-3	1.82E-2
MODULE_432	15	Genes in the cancer module 432.	2	0.1333	1.73E-3	1.82E-2
MODULE_164	61	Enzyme inhibitors (esp serine proteases).	3	0.0492	2.11E-3	2.16E-2
MODULE_459	431	Genes in the cancer module 459.	7	0.0162	2.23E-3	2.23E-2
MODULE_324	133	Metal / Ca ion binding.	4	0.0301	2.34E-3	2.25E-2
MODULE_378	435	Genes in the cancer module 378.	7	0.0161	2.35E-3	2.25E-2
MODULE_317	440	Genes in the cancer module 317.	7	0.0159	2.5E-3	2.32E-2
MODULE_183	65	RNA splicing.	3	0.0462	2.53E-3	2.32E-2
MODULE_255	450	Genes in the cancer module 255.	7	0.0156	2.83E-3	2.53E-2
MODULE_438	68	Intermediate filaments and MT.	3	0.0441	2.87E-3	2.53E-2
MODULE_81	20	Genes in the cancer module 81.	2	0.1000	3.09E-3	2.66E-2
MODULE_136	491	Genes in the cancer module 136.	7	0.0143	4.55E-3	3.84E-2
MODULE_202	28	Genes in the cancer module 202.	2	0.0714	6.01E-3	4.89E-2
MODULE_303	28	Genes in the cancer module 303.	2	0.0714	6.01E-3	4.89E-2
MODULE_69	526	Genes in the cancer module 69.	7	0.0133	6.56E-3	5.23E-2
MODULE_93	182	Oxidoreductases.	4	0.0220	7.1E-3	5.56E-2
MODULE_229	31	Genes in the cancer module 229.	2	0.0645	7.33E-3	5.64E-2
MODULE_6	413	Trachea genes.	6	0.0145	7.72E-3	5.84E-2
MODULE_299	35	Genes in the cancer module 299.	2	0.0571	9.28E-3	6.87E-2
MODULE_72	308	Testis genes.	5	0.0162	9.41E-3	6.87E-2
MODULE_105	200	Genes in the cancer module 105.	4	0.0200	9.81E-3	7.05E-2
MODULE_286	37	Genes in the cancer module 286	2	0.0541	1.03E-2	7.3E-2
MODULE_212	329	Catalytic activities / metabolism.	5	0.0152	1.22E-2	8.51E-2
MODULE_158	43	DNA replication.	2	0.0465	1.38E-2	9.43E-2
MODULE_37	471	Genes in the cancer module 37.	6	0.0127	1.41E-2	9.47E-2
MODULE_125	44	Genes in the cancer module 125.	2	0.0455	1.44E-2	9.52E-2
MODULE_47	225	ECM and collagens.	4	0.0178	1.46E-2	9.52E-2
MODULE_57	56	Genes in the cancer module 57.	2	0.0357	2.27E-2	1.46E-1
MODULE_322	59	Genes in the cancer module 322.	2	0.0339	2.5E-2	1.59E-1
MODULE_84	546	Immune (humoral) and inflammatory response.	6	0.0110	2.67E-2	1.67E-1
MODULE_337	64	Nucleotide metabolism.	2	0.0312	2.91E-2	1.79E-1
MODULE_358	80	B lymphoma expression clusters.	2	0.0250	4.37E-2	2.64E-1
MODULE_38	463	Placenta genes.	5	0.0108	4.42E-2	2.64E-1
MODULE_235	81	AA and sulfur metabolism.	2	0.0247	4.47E-2	2.64E-1
MODULE_62	89	Genes in the cancer module 62.	2	0.0225	5.28E-2	3.08E-1
MODULE_124	96	Transcription.	2	0.0208	6.04E-2	3.47E-1
MODULE_12	360	Spinal cord (neuro-development) genes.	4	0.0111	6.33E-2	3.59E-1
MODULE_261	100	Genes in the cancer module 262.	2	0.0200	6.49E-2	3.63E-1
MODULE_123	247	Genes in the cancer module 123.	3	0.0121	8.37E-2	4.62E-1
MODULE_239	120	Genes in the cancer module 239.	2	0.0167	8.88E-2	4.81E-1
MODULE_397	121	Genes in the cancer module 397.	2	0.0165	9E-2	4.81E-1
MODULE_118	408	cell line expressed genes.	4	0.0098	9.03E-2	4.81E-1
MODULE_45	581	Whole blood genes.	5	0.0086	9.48E-2	4.94E-1
MODULE_9	125	Genes in the cancer module 9.	2	0.0160	9.51E-2	4.94E-1
MODULE_188	139	Genes in the cancer module 188.	2	0.0144	1.13E-1	5.82E-1
MODULE_24	453	Fetal liver genes - metabolism and xenobiotics.	4	0.0088	1.2E-1	6.08E-1
MODULE_206	153	Genes in the cancer module 206.	2	0.0131	1.33E-1	6.62E-1
MODULE_205	305	Genes in the cancer module 205.	3	0.0098	1.34E-1	6.62E-1
MODULE_13	519	Genes in the cancer module 12.	4	0.0077	1.69E-1	8.3E-1


