
Entrez Gene Id	Gene Symbol	Gene Description	GCNP_SHH_UP_EARLY.V1_UP	SNF5_DN.V1_UP	E2F1_UP.V1_DN	RB_DN.V1_UP	RB_P107_DN.V1_DN	ALK_DN.V1_DN	GCNP_SHH_UP_LATE.V1_UP	DCA_UP.V1_DN	PRC2_SUZ12_UP.V1_DN	RAF_UP.V1_DN	RAF_UP.V1_UP	MEK_UP.V1_UP	MTOR_UP.N4.V1_UP	ERBB2_UP.V1_DN	CAMP_UP.V1_DN
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	GCNP_SHH_UP_EARLY.V1_UP	SNF5_DN.V1_UP													
51747	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	GCNP_SHH_UP_EARLY.V1_UP						GCNP_SHH_UP_LATE.V1_UP								
24137	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	GCNP_SHH_UP_EARLY.V1_UP														
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]		SNF5_DN.V1_UP													
6892	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]		SNF5_DN.V1_UP													
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]			E2F1_UP.V1_DN								RAF_UP.V1_UP	MEK_UP.V1_UP			
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]			E2F1_UP.V1_DN								RAF_UP.V1_UP				
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]			E2F1_UP.V1_DN												
10273	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]				RB_DN.V1_UP		ALK_DN.V1_DN									
5094	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]				RB_DN.V1_UP											
5447	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]					RB_P107_DN.V1_DN			DCA_UP.V1_DN				MEK_UP.V1_UP			
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]					RB_P107_DN.V1_DN										
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]						ALK_DN.V1_DN									
8661	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]							GCNP_SHH_UP_LATE.V1_UP								
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]								DCA_UP.V1_DN							
8260	NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]									PRC2_SUZ12_UP.V1_DN						
83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]									PRC2_SUZ12_UP.V1_DN						
