
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_32	MODULE_83	MODULE_133	MODULE_306	MODULE_277	MODULE_183	MODULE_212	MODULE_150	MODULE_160	MODULE_244	MODULE_110	MODULE_35	MODULE_159	MODULE_43	MODULE_184	MODULE_221	MODULE_229	MODULE_151	MODULE_87	MODULE_114	MODULE_2	MODULE_107	MODULE_209	MODULE_172	MODULE_177	MODULE_321	MODULE_152	MODULE_324	MODULE_12	MODULE_1	MODULE_3	MODULE_252	MODULE_7
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	MODULE_32	MODULE_83	MODULE_133						MODULE_160	MODULE_244	MODULE_110	MODULE_35																					
6741	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	MODULE_32	MODULE_83				MODULE_183																										MODULE_252	
5094	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]	MODULE_32	MODULE_83				MODULE_183																											
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	MODULE_32	MODULE_83						MODULE_150					MODULE_159					MODULE_151	MODULE_87	MODULE_114													
6133	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	MODULE_32	MODULE_83																MODULE_151		MODULE_114													
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	MODULE_32		MODULE_133						MODULE_160	MODULE_244	MODULE_110	MODULE_35	MODULE_159																				
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	MODULE_32			MODULE_306			MODULE_212							MODULE_43	MODULE_184	MODULE_221			MODULE_87								MODULE_152						
7284	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	MODULE_32							MODULE_150					MODULE_159																				
3312	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]		MODULE_83					MODULE_212			MODULE_244								MODULE_151		MODULE_114													
6124	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]		MODULE_83																MODULE_151		MODULE_114													
1615	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]			MODULE_133																														
5223	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]				MODULE_306										MODULE_43																			
5230	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]				MODULE_306																													
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]					MODULE_277	MODULE_183				MODULE_244							MODULE_229															MODULE_252	
125950	RAVER1	ribonucleoprotein, PTB binding 1 [Source:HGNC Symbol;Acc:HGNC:30296]					MODULE_277																												
26130	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]					MODULE_277																												
11325	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]							MODULE_212														MODULE_2					MODULE_321				MODULE_1			
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]							MODULE_212														MODULE_2								MODULE_12	MODULE_1	MODULE_3		
51056	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]							MODULE_212															MODULE_107	MODULE_209	MODULE_172				MODULE_324					
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]														MODULE_43	MODULE_184	MODULE_221																	
10155	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]																	MODULE_229																
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]																					MODULE_2								MODULE_12	MODULE_1			
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]																					MODULE_2								MODULE_12				
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]																						MODULE_107	MODULE_209	MODULE_172		MODULE_321		MODULE_324					
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]																									MODULE_177								
2665	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]																									MODULE_177								
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]																											MODULE_152						
7417	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]																															MODULE_3		
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]																															MODULE_3		
79882	ZC3H14	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]																																	MODULE_7
56288	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]																																	MODULE_7
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]																																	
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]																																	
51747	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]																																	
10514	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]																																	
1073	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]																																	
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]																																	
4640	MYO1A	myosin IA [Source:HGNC Symbol;Acc:HGNC:7595]																																	
23271	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]																																	
5447	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]																																	
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]																																	
10273	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]																																	
10574	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]																																	
129607	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]																																	
1314	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]																																	
22820	COPG1	COPI coat complex subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:2236]																																	
23193	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]																																	
24137	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]																																	
25879	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]																																	
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]																																	
488	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]																																	
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]																																	
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]																																	
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]																																	
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]																																	
