
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_3	MODULE_419	MODULE_321	MODULE_524	MODULE_98	MODULE_352	MODULE_18	MODULE_306	MODULE_52	MODULE_198	MODULE_1	MODULE_252	MODULE_32	MODULE_2	MODULE_8	MODULE_5	MODULE_110	MODULE_35	MODULE_543	MODULE_151	MODULE_126	MODULE_136	MODULE_244	MODULE_114	MODULE_15	MODULE_17	MODULE_202	MODULE_29	MODULE_303	MODULE_38	MODULE_179	MODULE_37	MODULE_158	MODULE_125	MODULE_72	MODULE_16	MODULE_61	MODULE_83	MODULE_69	MODULE_277	MODULE_164	MODULE_12	MODULE_331	MODULE_532	MODULE_6	MODULE_47	MODULE_459	MODULE_378	MODULE_317	MODULE_123	MODULE_255	MODULE_97	MODULE_182	MODULE_84	MODULE_324	MODULE_188	MODULE_45	MODULE_206	MODULE_93	MODULE_118	MODULE_54
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	MODULE_3	MODULE_419		MODULE_524			MODULE_18		MODULE_52		MODULE_1			MODULE_2		MODULE_5					MODULE_126				MODULE_15		MODULE_202			MODULE_38					MODULE_72	MODULE_16									MODULE_6												MODULE_45			MODULE_118	
2314	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	MODULE_3	MODULE_419		MODULE_524																																										MODULE_47															
445815	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	MODULE_3		MODULE_321													MODULE_5																																								MODULE_188					
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	MODULE_3				MODULE_98		MODULE_18		MODULE_52	MODULE_198					MODULE_8								MODULE_244		MODULE_15	MODULE_17			MODULE_303	MODULE_38			MODULE_158	MODULE_125		MODULE_16																									
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	MODULE_3						MODULE_18		MODULE_52		MODULE_1			MODULE_2		MODULE_5			MODULE_543						MODULE_15	MODULE_17				MODULE_38	MODULE_179					MODULE_16					MODULE_164	MODULE_12		MODULE_532	MODULE_6		MODULE_459	MODULE_378	MODULE_317		MODULE_255			MODULE_84	MODULE_324		MODULE_45			MODULE_118	
302	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	MODULE_3						MODULE_18		MODULE_52							MODULE_5			MODULE_543																						MODULE_164														MODULE_324						
7411	VBP1	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	MODULE_3						MODULE_18								MODULE_8					MODULE_151				MODULE_114	MODULE_15	MODULE_17										MODULE_16																									
55651	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	MODULE_3						MODULE_18								MODULE_8											MODULE_17										MODULE_16																									
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	MODULE_3								MODULE_52		MODULE_1			MODULE_2																					MODULE_72																									MODULE_118	
10989	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	MODULE_3														MODULE_8							MODULE_136				MODULE_17					MODULE_179	MODULE_37			MODULE_72				MODULE_69																						
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	MODULE_3																																																												
4627	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]		MODULE_419	MODULE_321	MODULE_524																																																									
4643	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]		MODULE_419	MODULE_321																		MODULE_126		MODULE_244																																						
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]		MODULE_419		MODULE_524																							MODULE_202																																		
3939	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]			MODULE_321					MODULE_306												MODULE_151				MODULE_114														MODULE_83																					MODULE_93		
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]			MODULE_321																																											MODULE_47															
23603	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]			MODULE_321																																																										
7175	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]					MODULE_98	MODULE_352																																																							
3978	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]					MODULE_98					MODULE_198		MODULE_252					MODULE_110	MODULE_35					MODULE_244										MODULE_158	MODULE_125																											
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]					MODULE_98					MODULE_198		MODULE_252											MODULE_244						MODULE_303											MODULE_277																					
7247	TSN	translin [Source:HGNC Symbol;Acc:HGNC:12379]					MODULE_98					MODULE_198		MODULE_252																																																	MODULE_54
4678	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]					MODULE_98					MODULE_198		MODULE_252																																																	
2091	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]					MODULE_98								MODULE_32																																																
6294	SAFB	scaffold attachment factor B [Source:HGNC Symbol;Acc:HGNC:10520]					MODULE_98																																																								
7112	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]						MODULE_352				MODULE_198		MODULE_252	MODULE_32																																																
5903	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]						MODULE_352																																																							
