
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING	GO_CADHERIN_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY	GO_ACTIN_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_ACTIN_FILAMENT_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_MOTOR_ACTIVITY	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY	GO_TRANSLATION_REGULATOR_ACTIVITY	GO_PROTEIN_DIMERIZATION_ACTIVITY	GO_TUBULIN_BINDING	GO_LIGASE_ACTIVITY	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	GO_DOUBLE_STRANDED_RNA_BINDING	GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY	GO_MICROFILAMENT_MOTOR_ACTIVITY	GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GO_SINGLE_STRANDED_DNA_BINDING	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_RAC_GTPASE_BINDING	GO_MICROTUBULE_BINDING	GO_TRANSCRIPTION_FACTOR_BINDING	GO_ADP_BINDING	GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	GO_MRNA_BINDING	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	GO_U6_SNRNA_BINDING	GO_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GO_LIPASE_INHIBITOR_ACTIVITY	GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GO_HELICASE_ACTIVITY	GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY	GO_OXIDOREDUCTASE_ACTIVITY	GO_NAD_BINDING	GO_ENZYME_REGULATOR_ACTIVITY	GO_PROTEIN_C_TERMINUS_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_AMINOACYLASE_ACTIVITY	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS_ACYL_GROUPS_CONVERTED_INTO_ALKYL_ON_TRANSFER	GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA	GO_RIBONUCLEOPROTEIN_COMPLEX_BINDING	GO_PHOSPHOLIPASE_A2_INHIBITOR_ACTIVITY	GO_MICROTUBULE_MOTOR_ACTIVITY	GO_RNA_HELICASE_ACTIVITY	GO_SNORNA_BINDING	GO_KINASE_BINDING	GO_K48_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GO_SINGLE_STRANDED_RNA_BINDING	GO_RHO_GTPASE_BINDING	GO_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	GO_PRE_MRNA_INTRONIC_BINDING	GO_TRANSCRIPTION_COREGULATOR_ACTIVITY	GO_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GO_ANNEALING_ACTIVITY	GO_RNA_STEM_LOOP_BINDING	GO_SIGNALING_RECEPTOR_BINDING	GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING	GO_NADP_BINDING	GO_SNRNA_BINDING	GO_CALMODULIN_BINDING	GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	GO_MOLECULAR_ADAPTOR_ACTIVITY	GO_GTPASE_BINDING	GO_SMALL_GTPASE_BINDING	GO_ION_CHANNEL_BINDING	GO_GTPASE_ACTIVITY	GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	GO_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	GO_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	GO_PHOSPHOLIPID_BINDING	GO_ANKYRIN_BINDING	GO_C_ACYLTRANSFERASE_ACTIVITY	GO_UBIQUITIN_SPECIFIC_PROTEASE_BINDING	GO_HISTONE_BINDING	GO_CHROMATIN_BINDING	GO_LYSINE_ACETYLATED_HISTONE_BINDING	GO_MHC_CLASS_I_PROTEIN_BINDING	GO_INSULIN_RECEPTOR_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS	GO_SMAD_BINDING	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ACYL_GROUPS	GO_CALCIUM_DEPENDENT_PROTEIN_BINDING	GO_ENZYME_INHIBITOR_ACTIVITY	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	GO_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	GO_GUANYL_NUCLEOTIDE_BINDING	GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING
4627	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING	GO_CADHERIN_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING	GO_CELL_ADHESION_MOLECULE_BINDING	GO_IDENTICAL_PROTEIN_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY	GO_ACTIN_BINDING	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_ACTIN_FILAMENT_BINDING			GO_MOTOR_ACTIVITY	GO_PROTEIN_HOMODIMERIZATION_ACTIVITY		GO_PROTEIN_DIMERIZATION_ACTIVITY						GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY	GO_MICROFILAMENT_MOTOR_ACTIVITY								GO_ADP_BINDING																																	GO_SIGNALING_RECEPTOR_BINDING				GO_CALMODULIN_BINDING			GO_MOLECULAR_ADAPTOR_ACTIVITY																										
5917	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING	GO_CADHERIN_BINDING		GO_ADENYL_NUCLEOTIDE_BINDING		GO_CELL_ADHESION_MOLECULE_BINDING							GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA							GO_LIGASE_ACTIVITY	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS																										GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA																																																				
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING		GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING			GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY	GO_ACTIN_BINDING		GO_ACTIN_FILAMENT_BINDING			GO_MOTOR_ACTIVITY									GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY	GO_MICROFILAMENT_MOTOR_ACTIVITY								GO_ADP_BINDING		GO_MRNA_BINDING																														GO_RNA_STEM_LOOP_BINDING					GO_CALMODULIN_BINDING																													
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING		GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING			GO_IDENTICAL_PROTEIN_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY		GO_PROTEIN_DOMAIN_SPECIFIC_BINDING																						GO_ADP_BINDING					GO_MODIFICATION_DEPENDENT_PROTEIN_BINDING		GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING					GO_ENZYME_REGULATOR_ACTIVITY												GO_K48_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING						GO_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING			GO_SIGNALING_RECEPTOR_BINDING																			GO_UBIQUITIN_SPECIFIC_PROTEASE_BINDING				GO_MHC_CLASS_I_PROTEIN_BINDING										
7919	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING		GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING			GO_IDENTICAL_PROTEIN_BINDING	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY				GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA																								GO_U6_SNRNA_BINDING				GO_HELICASE_ACTIVITY													GO_RNA_HELICASE_ACTIVITY															GO_SNRNA_BINDING																														
4931	NVL	nuclear VCP like [Source:HGNC Symbol;Acc:HGNC:8070]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING		GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING				GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY																																										GO_RIBONUCLEOPROTEIN_COMPLEX_BINDING																																																
2058	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING			GO_ADENYL_NUCLEOTIDE_BINDING			GO_IDENTICAL_PROTEIN_BINDING						GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA			GO_PROTEIN_HOMODIMERIZATION_ACTIVITY		GO_PROTEIN_DIMERIZATION_ACTIVITY		GO_LIGASE_ACTIVITY	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS																										GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA																		GO_RNA_STEM_LOOP_BINDING									GO_GTPASE_BINDING																									
1981	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING			GO_ADENYL_NUCLEOTIDE_BINDING			GO_IDENTICAL_PROTEIN_BINDING										GO_TRANSLATION_REGULATOR_ACTIVITY						GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING			GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING									GO_MRNA_BINDING							GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY																															GO_MOLECULAR_ADAPTOR_ACTIVITY																										
1653	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]	GO_RNA_BINDING	GO_RIBONUCLEOTIDE_BINDING			GO_ADENYL_NUCLEOTIDE_BINDING				GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_ATPASE_ACTIVITY				GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA									GO_DOUBLE_STRANDED_RNA_BINDING																			GO_HELICASE_ACTIVITY									GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA				GO_RNA_HELICASE_ACTIVITY				GO_SINGLE_STRANDED_RNA_BINDING				GO_TRANSCRIPTION_COREGULATOR_ACTIVITY																									GO_CHROMATIN_BINDING				GO_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS								
