
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_OOCYTE_MEIOSIS	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PEROXISOME	KEGG_RIBOSOME	KEGG_CELL_CYCLE	KEGG_ENDOCYTOSIS	KEGG_FOCAL_ADHESION	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
5347	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	KEGG_OOCYTE_MEIOSIS										KEGG_CELL_CYCLE			
9700	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	KEGG_OOCYTE_MEIOSIS										KEGG_CELL_CYCLE			
5515	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	KEGG_OOCYTE_MEIOSIS													
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]		KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM		KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		KEGG_PPAR_SIGNALING_PATHWAY						
4191	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]		KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_PYRUVATE_METABOLISM											
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]				KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM										
7264	TSTA3	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]				KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM										
5230	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]					KEGG_GLYCOLYSIS_GLUCONEOGENESIS									
2181	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]						KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PEROXISOME					
28964	GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]							KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION					KEGG_ENDOCYTOSIS		KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
6416	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]							KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION							
5189	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]									KEGG_PEROXISOME					
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]										KEGG_RIBOSOME				
6224	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]										KEGG_RIBOSOME				
2060	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]												KEGG_ENDOCYTOSIS		
2335	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]													KEGG_FOCAL_ADHESION	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]													KEGG_FOCAL_ADHESION	
10273	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]														
9181	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]														
5719	PSMD13	proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]														
5981	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]														
92935	MARS2	methionyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25133]														
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]														
11231	SEC63	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]														
10243	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]														
113130	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]														
114034	TOE1	target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]														
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]														
201626	PDE12	phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]														
22848	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]														
