
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_3	MODULE_419	MODULE_32	MODULE_321	MODULE_29	MODULE_524	MODULE_2	MODULE_52	MODULE_5	MODULE_123	MODULE_72	MODULE_151	MODULE_83	MODULE_97	MODULE_182	MODULE_114	MODULE_15	MODULE_1	MODULE_6	MODULE_8	MODULE_18	MODULE_38	MODULE_126	MODULE_244	MODULE_45	MODULE_47	MODULE_54	MODULE_220	MODULE_12	MODULE_33	MODULE_98	MODULE_118
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	MODULE_3	MODULE_419				MODULE_524	MODULE_2	MODULE_52	MODULE_5		MODULE_72						MODULE_15	MODULE_1	MODULE_6		MODULE_18	MODULE_38	MODULE_126		MODULE_45			MODULE_220				MODULE_118
2314	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	MODULE_3	MODULE_419				MODULE_524																				MODULE_47						
445815	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	MODULE_3			MODULE_321					MODULE_5																							
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	MODULE_3						MODULE_2	MODULE_52			MODULE_72							MODULE_1												MODULE_33		MODULE_118
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	MODULE_3							MODULE_52									MODULE_15			MODULE_8	MODULE_18	MODULE_38		MODULE_244							MODULE_98	
10051	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	MODULE_3																										MODULE_54					
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	MODULE_3																															
4643	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]		MODULE_419		MODULE_321																			MODULE_126	MODULE_244								
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]			MODULE_32		MODULE_29							MODULE_151	MODULE_83			MODULE_114																
6202	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]			MODULE_32		MODULE_29								MODULE_83																			
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]			MODULE_32									MODULE_151	MODULE_83			MODULE_114																
2091	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]			MODULE_32																												MODULE_98	
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]				MODULE_321					MODULE_5										MODULE_6	MODULE_8												
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]							MODULE_2	MODULE_52	MODULE_5		MODULE_72						MODULE_15	MODULE_1	MODULE_6		MODULE_18	MODULE_38			MODULE_45	MODULE_47			MODULE_12	MODULE_33		
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]							MODULE_2																						MODULE_12			
8091	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]										MODULE_123										MODULE_8								MODULE_220				
5074	PAWR	pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614]										MODULE_123																						
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]										MODULE_123																						
7167	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]												MODULE_151				MODULE_114											MODULE_54					
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]														MODULE_97	MODULE_182																	
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]														MODULE_97	MODULE_182																	
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]																									MODULE_45							
5903	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]																																
4646	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]																																
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]																																
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]																																
7332	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]																																
10061	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]																																
10985	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]																																
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]																																
23256	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]																																
27044	SND1	staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]																																
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]																																
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]																																
29894	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]																																
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]																																
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]																																
55920	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]																																
7750	ZMYM2	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]																																
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]																																
79902	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]																																
